CASE,STARTED,AA01,AA02,AA03,AA04,AA05,AA06,B001,B002,B003,B101,B102,B103,B201,B202,B203,B301,B302,B303,B401,B402,B403,B501,B502,B503,I104,P001,P002,P003,P101,P102,P103,P201,P202,P203,P301,P302,P303,P401,P402,P403,P501,P502,P503,PQ01,PQ03,PQ04,RA01_CP,RA01x01,RA01x02,RA01x03,RA03_CP,RA03x01,RA03x02,RA03x03,RA04_CP,RA04x01,RA04x02,RA04x03,RA05_CP,RA05x01,RA05x02,RA05x03,RA06_CP,RA06x01,RA06x02,RA06x03,RA07_CP,RA07x01,RA07x02,RA07x03,RA08_CP,RA08x01,RA08x02,RA08x03,RA09_CP,RA09x01,RA09x02,RA09x03,RA10_CP,RA10x01,RA10x02,RA10x03,RA11_CP,RA11x01,RA11x02,RA11x03,RA12_CP,RA12x01,RA12x02,RA12x03,RA14_CP,RA14x01,RA14x02,RA14x03,RA13_CP,RA13x01,RA13x02,RA13x03,RA13x04,RA13x05,RA13x06,RA13x07,RA13x08,RA13x09,RA13x10,RA13x11,RA13x12,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
158,2024-06-07 10:02:15,2,1,1,1,1,2,5,4,4,4,4,3,1,3,2,4,2,1,2,2,1,3,2,4,1,3,1,1,4,1,3,3,1,2,1,1,2,4,2,2,1,1,4,1,2,1,27,2,1,3,27,3,1,2,27,3,2,1,27,3,2,1,27,1,3,2,27,3,1,2,27,3,1,2,27,3,2,1,27,2,1,3,27,3,1,2,27,2,1,3,27,1,3,2,27,8,5,9,7,11,1,12,3,4,2,10,6,9,14,39,49,20,73,5,83,48,33,4,45,30,23,5,35,61,17,4,21,17,32,4,34,31,38,6,12,792,,2024-06-07 10:15:27,1,0,28,28,2,0,0.95
177,2024-06-19 02:27:41,2,1,1,1,1,2,3,1,4,1,1,1,1,4,2,1,2,1,1,1,1,1,1,1,,2,3,1,1,1,2,4,2,3,1,1,1,1,1,3,1,1,4,1,2,1,30,2,3,1,30,1,3,2,30,3,1,2,30,2,1,3,30,2,3,1,30,2,1,3,30,3,2,1,30,2,3,1,30,1,2,3,30,3,2,1,30,3,1,2,30,2,3,1,30,1,6,9,2,10,3,5,4,11,8,12,7,4,9,2,41,24,27,4,28,90,30,5,52,17,64,5,21,18,19,4,40,22,83,4,40,40,40,4,14,694,,2024-06-19 02:40:13,1,0,28,28,2,0,1.12
178,2024-06-19 08:22:01,2,1,1,1,1,2,5,1,4,1,1,3,1,4,1,4,4,1,2,2,1,2,1,2,,1,4,1,2,2,2,3,1,3,2,1,2,1,1,1,1,1,1,1,2,1,31,2,1,3,31,1,3,2,31,3,1,2,31,3,2,1,31,1,3,2,31,2,3,1,31,3,2,1,31,3,1,2,31,3,2,1,31,3,2,1,31,3,1,2,31,1,3,2,31,10,6,7,12,5,1,3,11,9,2,4,8,2,35,38,79,37,32,9,53,60,58,11,21,19,61,8,71,42,52,7,71,97,26,7,67,257,53,5,61,980,,2024-06-19 08:44:21,1,0,28,28,2,0,0.66
179,2024-06-20 16:14:03,2,1,1,1,1,2,5,1,1,4,4,3,1,2,2,1,2,1,2,2,1,4,1,1,,3,3,4,3,2,3,4,3,1,1,1,2,2,1,3,3,1,3,1,1,2,32,1,2,3,32,3,1,2,32,1,3,2,32,1,2,3,32,2,3,1,32,1,2,3,32,3,2,1,32,3,2,1,32,3,2,1,32,2,3,1,32,1,2,3,32,1,3,2,32,1,12,5,6,2,3,4,11,7,10,8,9,97,20,21,50,56,30,9,33,20,33,4,31,44,37,7,74,32,24,5,32,26,38,7,70,36,32,6,9,789,,2024-06-20 16:28:46,1,0,28,28,4,2,0.85
182,2024-06-23 12:50:11,2,1,1,1,1,2,5,4,4,2,3,3,1,4,1,1,2,1,3,1,2,2,1,2,,1,4,1,3,2,2,1,1,1,2,2,3,4,2,2,4,1,4,1,2,2,33,3,2,1,33,2,3,1,33,3,1,2,33,3,1,2,33,3,2,1,33,1,3,2,33,2,1,3,33,2,1,3,33,2,3,1,33,1,3,2,33,1,3,2,33,2,1,3,33,9,3,1,8,11,5,7,12,4,2,10,6,7,127,92,184,74,96,4,197,127,65,6,68,55,79,11,100,92,59,4,49,34,18,6,55,44,98,5,122,1131,,2024-06-23 13:21:30,1,0,28,28,2,0,0.52
195,2024-06-26 20:07:00,2,1,1,1,1,2,3,1,1,4,1,3,1,1,2,1,4,1,3,1,1,1,1,1,,2,4,3,2,1,1,2,1,3,2,3,3,1,1,2,1,1,4,1,1,2,34,2,3,1,34,2,1,3,34,3,1,2,34,3,2,1,34,3,2,1,34,2,1,3,34,2,1,3,34,3,1,2,34,2,3,1,34,2,1,3,34,3,1,2,34,3,2,1,34,12,5,2,4,11,9,10,3,8,7,1,6,2,23,32,162,38,126,5,16,41,60,7,245,77,97,13,107,23,40,17,134,223,103,8,33,37,53,9,21,977,,2024-06-26 20:36:12,1,0,28,28,2,0,0.62
197,2024-06-30 18:14:14,2,1,1,1,1,2,5,2,3,2,4,3,2,2,1,4,4,1,2,1,4,1,1,4,,1,1,2,2,1,3,3,3,2,1,3,2,4,2,1,3,1,4,1,2,2,35,1,2,3,35,3,1,2,35,3,1,2,35,2,3,1,35,1,2,3,35,1,2,3,35,1,2,3,35,1,3,2,35,2,3,1,35,1,3,2,35,1,2,3,35,2,1,3,35,10,2,4,12,6,1,7,11,8,3,5,9,1,15,3,34,13,17,3,13,13,12,4,12,15,13,6,13,14,22,3,15,16,10,3,11,11,6,4,7,309,,2024-06-30 18:19:23,1,0,28,28,2,0,2.07
201,2024-07-01 16:53:50,2,1,1,1,1,2,3,1,1,1,1,3,1,4,1,3,4,1,1,1,1,2,2,3,,1,3,2,3,2,3,2,3,1,2,1,4,1,1,1,1,1,3,1,1,2,36,2,3,1,36,3,2,1,36,2,3,1,36,2,3,1,36,1,2,3,36,2,3,1,36,2,1,3,36,3,1,2,36,2,3,1,36,1,2,3,36,3,1,2,36,2,1,3,36,9,6,3,10,1,8,7,11,5,4,12,2,4,15,31,92,112,55,5,75,45,20,4,68,50,32,7,43,44,28,3,25,28,22,8,33,30,15,4,8,906,,2024-07-01 17:08:56,1,0,28,28,2,0,0.91
205,2024-07-01 17:27:56,2,1,1,1,1,2,4,1,1,1,1,3,1,1,1,1,3,1,3,2,1,1,1,1,,1,1,2,4,3,4,2,2,1,1,1,4,1,3,4,3,1,3,1,1,2,37,1,3,2,37,1,2,3,37,3,2,1,37,1,2,3,37,3,1,2,37,1,2,3,37,3,1,2,37,1,2,3,37,3,2,1,37,2,1,3,37,2,3,1,37,2,1,3,37,12,1,9,2,6,5,10,8,7,3,4,11,6,32,29,94,87,48,13,40,51,54,6,22,39,39,19,65,41,36,5,37,74,18,6,55,38,45,5,31,1014,,2024-07-01 17:45:11,1,0,28,28,4,2,0.67
214,2024-07-01 22:14:08,2,1,1,1,1,2,4,1,4,4,2,3,1,3,4,1,3,1,4,1,1,1,1,1,,1,3,4,4,4,3,1,4,1,2,1,4,1,1,3,4,1,4,1,1,2,43,3,1,2,43,3,1,2,43,2,1,3,43,2,1,3,43,2,3,1,43,1,3,2,43,3,2,1,43,1,3,2,43,2,3,1,43,3,2,1,43,2,3,1,43,1,2,3,43,11,8,6,7,2,5,3,12,4,1,9,10,2,6,7,89,54,31,7,46,14,39,4,54,13,46,6,63,27,58,4,17,25,14,6,51,57,51,5,5,801,,2024-07-01 22:27:30,1,0,28,28,4,2,1.15
218,2024-07-02 00:05:12,2,1,1,1,1,2,5,1,1,4,1,1,1,2,4,2,2,1,4,1,1,3,1,1,,4,2,1,3,1,2,3,2,1,2,1,3,4,3,1,4,3,4,1,1,2,44,3,2,1,44,3,1,2,44,3,1,2,44,3,2,1,44,3,2,1,44,1,2,3,44,1,3,2,44,1,3,2,44,1,3,2,44,2,3,1,44,2,1,3,44,3,1,2,44,10,1,11,12,4,3,9,7,6,5,8,2,4,24,41,72,60,45,7,84,75,60,5,70,19,43,7,113,145,134,16,35,19,44,24,86,48,51,5,11,1088,,2024-07-02 00:27:39,1,0,28,28,2,0,0.62
221,2024-07-02 18:06:47,2,1,1,1,1,2,3,1,1,1,1,3,1,3,1,1,4,1,1,1,1,3,2,1,,1,4,4,3,2,1,1,3,3,1,3,4,4,2,1,1,1,4,1,1,2,46,3,2,1,46,2,1,3,46,3,1,2,46,2,1,3,46,3,1,2,46,2,1,3,46,2,3,1,46,1,2,3,46,2,1,3,46,3,2,1,46,2,3,1,46,1,2,3,46,5,11,4,6,2,7,1,12,10,3,8,9,1,15,17,33,25,27,5,18,15,18,3,24,17,40,4,31,22,23,2,28,28,29,5,27,21,36,3,13,530,,2024-07-02 18:15:40,1,0,28,28,2,0,1.34
222,2024-07-03 08:31:47,2,1,1,1,3,2,4,1,1,4,1,3,2,3,2,4,3,1,4,2,1,1,1,2,,3,1,2,4,3,3,2,2,2,3,4,4,3,3,1,4,2,1,1,1,2,47,3,2,1,47,1,2,3,47,2,1,3,47,1,3,2,47,3,1,2,47,3,2,1,47,1,2,3,47,1,3,2,47,2,1,3,47,2,3,1,47,1,3,2,47,1,3,2,47,12,6,3,1,4,2,9,8,7,5,10,11,3,28,27,54,35,36,7,36,40,30,6,41,28,28,9,38,41,33,5,37,18,20,4,19,13,20,5,27,688,,2024-07-03 08:43:15,1,0,28,28,2,0,0.96
224,2024-07-03 17:58:47,2,1,1,1,1,2,4,4,1,1,3,2,1,3,2,4,4,1,1,1,1,2,4,1,,3,1,2,1,1,1,1,3,2,2,1,2,3,3,4,3,2,4,1,1,2,49,3,1,2,49,3,1,2,49,2,1,3,49,3,2,1,49,2,3,1,49,2,1,3,49,2,3,1,49,2,3,1,49,3,2,1,49,2,1,3,49,1,3,2,49,3,2,1,49,6,2,5,12,11,1,10,3,8,7,9,4,4,61,2,85,44,39,4,133,103,100,12,102,99,114,13,108,31,38,7,88,62,73,4,20,31,29,3,5,1240,,2024-07-03 18:22:23,1,0,28,28,2,2,0.8
232,2024-07-16 14:00:31,2,1,1,1,1,2,4,2,3,1,4,2,1,2,2,1,2,1,4,3,1,4,1,3,,1,4,3,1,1,2,1,3,2,1,1,3,1,2,3,1,1,1,1,2,1,51,1,2,3,51,1,2,3,51,2,3,1,51,1,3,2,51,1,3,2,51,1,3,2,51,3,2,1,51,1,3,2,51,3,2,1,51,2,3,1,51,2,1,3,51,1,2,3,51,6,10,3,7,8,11,1,9,4,12,5,2,2,9,22,35,32,34,6,33,26,34,3,38,45,16,6,25,17,19,4,27,18,21,4,16,9,14,4,8,527,,2024-07-16 14:09:19,1,0,28,28,2,0,1.33
234,2024-07-16 14:28:26,2,1,1,1,1,2,4,2,4,2,1,4,1,2,2,4,1,3,1,1,4,1,1,4,,2,3,4,1,1,3,4,1,1,2,1,4,3,2,1,1,1,2,1,2,1,53,3,1,2,53,2,1,3,53,1,3,2,53,3,2,1,53,2,3,1,53,2,1,3,53,1,2,3,53,2,3,1,53,3,1,2,53,3,2,1,53,2,1,3,53,2,1,3,53,2,7,9,11,8,1,3,10,4,6,5,12,7,16,27,61,22,18,8,54,33,36,4,93,37,40,7,26,33,42,3,16,11,18,4,16,30,23,3,22,710,,2024-07-16 14:40:16,1,0,28,28,2,0,1.07
241,2024-07-16 18:46:35,2,1,1,1,1,2,5,2,1,4,2,4,1,1,2,1,2,3,1,1,1,2,2,1,,2,2,1,3,2,3,2,3,2,1,3,2,2,1,1,3,1,1,1,2,2,55,1,2,3,55,3,2,1,55,1,3,2,55,3,2,1,55,2,1,3,55,2,3,1,55,3,1,2,55,2,3,1,55,3,1,2,55,1,2,3,55,1,2,3,55,2,3,1,55,5,6,9,10,12,1,7,2,8,4,3,11,1,18,5,94,162,19,5,130,30,43,8,57,48,31,4,24,48,16,3,59,35,28,4,20,20,21,5,19,832,,2024-07-16 19:02:33,1,0,28,28,2,0,1.09
243,2024-07-17 11:00:17,2,1,1,1,1,2,5,4,3,1,1,3,1,4,1,1,1,2,1,1,1,4,1,3,,1,1,1,1,3,1,1,1,2,1,1,4,1,1,2,1,1,1,1,2,1,57,1,3,2,57,2,3,1,57,2,1,3,57,3,2,1,57,2,3,1,57,3,1,2,57,1,2,3,57,3,2,1,57,3,1,2,57,3,2,1,57,3,1,2,57,2,3,1,57,7,12,10,1,5,6,2,9,11,8,4,3,18,11,17,254,58,39,4,36,53,49,2,29,14,32,4,104,20,42,3,51,31,79,3,18,10,13,4,11,744,,2024-07-17 11:17:07,1,0,28,28,2,0,1.09
247,2024-07-18 09:35:39,2,1,1,1,1,2,5,1,4,4,1,3,1,2,1,4,3,1,4,1,1,3,1,2,,1,4,2,1,1,4,2,1,1,1,1,4,4,2,1,4,3,1,1,1,2,58,3,2,1,58,3,2,1,58,2,3,1,58,3,1,2,58,1,3,2,58,3,1,2,58,2,3,1,58,2,1,3,58,1,2,3,58,2,3,1,58,2,1,3,58,1,3,2,58,9,2,7,10,8,12,3,5,4,1,11,6,2,18,2,162,86,26,4,272,12,449,3,74,47,33,4,144,22,24,3,23,57,17,5,164,23,25,3,34,950,,2024-07-18 10:04:38,1,0,28,28,2,0,1.02
249,2024-07-19 16:59:59,2,1,1,1,1,2,5,4,3,2,3,4,2,4,1,4,3,2,1,1,1,2,1,3,,4,4,4,3,3,1,2,1,4,1,1,2,2,4,1,1,1,1,1,2,1,60,3,2,1,60,2,1,3,60,2,3,1,60,3,2,1,60,1,3,2,60,1,3,2,60,3,1,2,60,1,3,2,60,3,1,2,60,2,1,3,60,3,1,2,60,3,1,2,60,3,4,10,8,12,1,9,7,11,2,6,5,2,6,4,164,13,18,3,55,62,42,4,37,18,18,5,44,25,41,4,16,11,17,3,15,14,18,3,22,684,,2024-07-19 17:11:24,1,0,28,28,2,0,1.42
250,2024-07-22 07:22:55,2,1,1,1,1,2,5,1,3,1,2,3,3,1,4,1,1,3,4,1,4,1,1,1,,3,1,1,4,2,2,4,2,3,2,1,3,3,2,1,3,1,2,1,2,1,61,1,2,3,61,2,3,1,61,1,3,2,61,2,1,3,61,1,3,2,61,2,3,1,61,3,1,2,61,2,3,1,61,2,1,3,61,2,1,3,61,3,1,2,61,2,3,1,61,8,7,11,3,4,1,12,10,6,2,9,5,3,47,14,50,50,40,6,41,31,30,4,14,19,23,5,38,42,38,2,16,13,8,3,44,76,28,5,20,710,,2024-07-22 07:34:47,1,0,28,28,2,0,1.15
252,2024-07-22 09:15:50,2,1,1,1,1,2,5,1,1,2,1,2,1,4,2,1,1,1,1,1,1,1,3,1,,2,1,4,1,1,2,1,3,2,2,1,4,2,3,1,3,1,1,1,2,2,62,3,1,2,62,2,1,3,62,1,3,2,62,3,1,2,62,1,2,3,62,3,1,2,62,3,2,1,62,1,3,2,62,2,1,3,62,1,3,2,62,2,1,3,62,2,1,3,62,12,8,4,9,11,10,6,1,2,7,5,3,1,36,4,39,24,27,4,20,14,11,4,16,17,42,5,23,15,15,3,37,10,21,3,12,16,11,3,7,440,,2024-07-22 09:23:10,1,0,28,28,2,0,1.7
256,2024-07-23 19:01:10,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,4,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,2,63,3,1,2,63,1,3,2,63,3,1,2,63,1,3,2,63,1,2,3,63,2,3,1,63,3,1,2,63,1,2,3,63,2,1,3,63,2,1,3,63,2,3,1,63,1,2,3,63,9,8,4,11,10,6,2,1,12,5,7,3,5,156,13,137,59,72,7,48,48,45,3,51,44,40,9,86,43,147,3,54,40,52,5,43,47,45,4,10,1056,,2024-07-23 19:23:06,1,0,28,28,2,0,0.71
257,2024-07-23 19:25:21,2,1,1,1,1,2,3,1,1,1,1,4,1,1,1,1,2,2,1,1,1,1,4,3,,3,2,4,2,4,2,1,4,1,1,3,1,1,2,1,2,3,2,1,2,2,64,3,2,1,64,2,3,1,64,3,2,1,64,3,1,2,64,3,2,1,64,1,3,2,64,1,2,3,64,1,3,2,64,1,3,2,64,1,3,2,64,1,2,3,64,3,1,2,64,6,7,3,11,12,8,5,2,9,4,10,1,4,7,3,8,11,8,3,16,10,6,3,11,8,10,2,11,7,6,2,14,8,6,1,13,8,11,3,25,225,,2024-07-23 19:29:06,1,0,28,28,2,0,2.49
259,2024-07-23 21:12:57,2,1,1,1,1,2,5,2,2,4,4,1,3,3,1,2,2,3,3,4,1,1,3,3,,1,1,3,1,4,3,4,2,4,3,3,3,4,4,4,3,2,3,1,2,2,66,1,2,3,66,1,3,2,66,2,1,3,66,2,1,3,66,3,1,2,66,3,2,1,66,1,2,3,66,2,1,3,66,2,3,1,66,3,1,2,66,2,3,1,66,3,2,1,66,11,8,2,12,5,9,4,10,3,1,7,6,3,24,14,14,11,11,3,14,28,6,2,10,8,9,6,8,10,12,3,7,7,6,5,5,5,7,6,30,274,,2024-07-23 21:17:31,1,0,28,28,2,0,2.18
260,2024-07-23 21:13:23,2,1,1,1,1,2,5,1,4,3,1,2,1,3,2,2,1,3,2,1,1,1,2,1,,3,3,2,1,3,2,4,2,1,2,4,3,1,3,3,2,1,3,1,2,2,65,2,1,3,65,3,1,2,65,2,1,3,65,1,2,3,65,2,3,1,65,3,1,2,65,2,1,3,65,3,2,1,65,1,3,2,65,1,3,2,65,1,2,3,65,2,3,1,65,10,11,9,12,7,4,6,3,1,2,5,8,2,8,2,9,5,7,8,4,6,12,4,5,9,28,5,11,7,17,5,10,8,8,8,11,6,6,4,25,240,,2024-07-23 21:17:23,1,0,28,28,2,0,2.2
261,2024-07-24 09:16:31,2,1,1,1,1,2,3,4,4,4,4,1,1,3,2,1,2,4,2,1,1,1,1,2,,1,2,4,3,1,2,2,3,4,2,1,3,2,3,1,1,1,4,1,2,1,67,3,2,1,67,1,2,3,67,2,1,3,67,2,3,1,67,1,2,3,67,3,1,2,67,3,2,1,67,3,1,2,67,3,1,2,67,1,3,2,67,2,3,1,67,1,2,3,67,3,5,4,9,6,7,8,1,2,10,12,11,5,15,27,60,30,27,8,46,31,71,6,32,19,35,6,224,94,59,4,31,24,25,4,35,26,24,4,25,744,,2024-07-24 09:33:09,1,0,28,28,2,0,0.86
262,2024-07-24 13:10:29,2,1,1,1,1,2,5,4,3,2,1,2,1,2,1,4,2,2,4,1,1,1,1,1,,1,1,1,1,1,1,3,1,2,1,1,4,1,1,1,1,1,1,1,2,1,68,3,1,2,68,3,2,1,68,3,2,1,68,2,1,3,68,3,1,2,68,3,2,1,68,2,1,3,68,2,1,3,68,2,3,1,68,2,3,1,68,2,3,1,68,1,2,3,68,2,7,11,8,6,1,3,4,9,12,5,10,3,1110,2,14,37,13,243,188,38,26,3,18,15,16,5,13,11,9,8,33,42,36,5,7,11,19,6,34,484,,2024-07-24 13:43:15,1,0,28,28,2,0,1.43
264,2024-07-25 20:46:09,2,1,1,1,1,2,3,2,1,1,1,2,1,4,1,4,2,3,2,1,1,1,1,1,,2,4,1,1,2,2,4,1,2,1,1,1,2,3,2,3,1,4,1,1,1,69,3,1,2,69,2,3,1,69,1,2,3,69,1,3,2,69,3,2,1,69,2,1,3,69,3,2,1,69,3,2,1,69,1,2,3,69,1,3,2,69,1,2,3,69,1,3,2,69,12,1,5,2,6,3,4,11,10,8,7,9,4,26,2,59,31,17,2,30,16,30,4,18,26,55,4,22,30,13,4,20,14,31,3,11,32,27,3,8,542,,2024-07-25 20:55:11,1,0,28,28,2,0,1.42
