VAR,RESPONSE,MEANING,CORRECT_ANSWER
RA13x02,1,B0,
RA13x02,2,B1,
RA13x02,3,B2,
RA13x02,4,B3,
RA13x02,5,B4,
RA13x02,6,B5,
RA13x02,7,P0,
RA13x02,8,P1,
RA13x02,9,P2,
RA13x02,10,P3,
RA13x02,11,P4,
RA13x02,12,P5,
RA13x03,1,B0,
RA13x03,2,B1,
RA13x03,3,B2,
RA13x03,4,B3,
RA13x03,5,B4,
RA13x03,6,B5,
RA13x03,7,P0,
RA13x03,8,P1,
RA13x03,9,P2,
RA13x03,10,P3,
RA13x03,11,P4,
RA13x03,12,P5,
RA13x04,1,B0,
RA13x04,2,B1,
RA13x04,3,B2,
RA13x04,4,B3,
RA13x04,5,B4,
RA13x04,6,B5,
RA13x04,7,P0,
RA13x04,8,P1,
RA13x04,9,P2,
RA13x04,10,P3,
RA13x04,11,P4,
RA13x04,12,P5,
RA13x05,1,B0,
RA13x05,2,B1,
RA13x05,3,B2,
RA13x05,4,B3,
RA13x05,5,B4,
RA13x05,6,B5,
RA13x05,7,P0,
RA13x05,8,P1,
RA13x05,9,P2,
RA13x05,10,P3,
RA13x05,11,P4,
RA13x05,12,P5,
RA13x06,1,B0,
RA13x06,2,B1,
RA13x06,3,B2,
RA13x06,4,B3,
RA13x06,5,B4,
RA13x06,6,B5,
RA13x06,7,P0,
RA13x06,8,P1,
RA13x06,9,P2,
RA13x06,10,P3,
RA13x06,11,P4,
RA13x06,12,P5,
RA13x07,1,B0,
RA13x07,2,B1,
RA13x07,3,B2,
RA13x07,4,B3,
RA13x07,5,B4,
RA13x07,6,B5,
RA13x07,7,P0,
RA13x07,8,P1,
RA13x07,9,P2,
RA13x07,10,P3,
RA13x07,11,P4,
RA13x07,12,P5,
RA13x08,1,B0,
RA13x08,2,B1,
RA13x08,3,B2,
RA13x08,4,B3,
RA13x08,5,B4,
RA13x08,6,B5,
RA13x08,7,P0,
RA13x08,8,P1,
RA13x08,9,P2,
RA13x08,10,P3,
RA13x08,11,P4,
RA13x08,12,P5,
RA13x09,1,B0,
RA13x09,2,B1,
RA13x09,3,B2,
RA13x09,4,B3,
RA13x09,5,B4,
RA13x09,6,B5,
RA13x09,7,P0,
RA13x09,8,P1,
RA13x09,9,P2,
RA13x09,10,P3,
RA13x09,11,P4,
RA13x09,12,P5,
RA13x10,1,B0,
RA13x10,2,B1,
RA13x10,3,B2,
RA13x10,4,B3,
RA13x10,5,B4,
RA13x10,6,B5,
RA13x10,7,P0,
RA13x10,8,P1,
RA13x10,9,P2,
RA13x10,10,P3,
RA13x10,11,P4,
RA13x10,12,P5,
RA13x11,1,B0,
RA13x11,2,B1,
RA13x11,3,B2,
RA13x11,4,B3,
RA13x11,5,B4,
RA13x11,6,B5,
RA13x11,7,P0,
RA13x11,8,P1,
RA13x11,9,P2,
RA13x11,10,P3,
RA13x11,11,P4,
RA13x11,12,P5,
RA13x12,1,B0,
RA13x12,2,B1,
RA13x12,3,B2,
RA13x12,4,B3,
RA13x12,5,B4,
RA13x12,6,B5,
RA13x12,7,P0,
RA13x12,8,P1,
RA13x12,9,P2,
RA13x12,10,P3,
RA13x12,11,P4,
RA13x12,12,P5,
FINISHED,0,Canceled,
FINISHED,1,Finished,
Q_VIEWER,0,Respondent,
Q_VIEWER,1,Spectator,
