RECORDING_SESSION_LABEL	order_bq3ans	trial	itemid	ACC_B_Q1	ACC_B_Q2	ACC_B_Q3	ACC_T_Q1	ACC_T_Q2	ACC_T_Q3	RESPONSE_B_Q1	RESPONSE_B_Q2	RESPONSE_B_Q3	RESPONSE_T_Q1	RESPONSE_T_Q2	RESPONSE_T_Q3	TOTAL_CORRECT	order_bq1ans	order_bq2ans	order_tq1ans	order_tq2ans	order_tq3ans	topic	version
101	[3, 4, 2, 1]	7	b0	0	0	0	0	1	0	4	3	2	4	1	4	14	[4, 1, 3, 2]	[2, 1, 3, 4]	[3, 4, 1, 2]	[1, 2, 4, 3]	[1, 3, 4, 2]	bio	101
101	[2, 1, 4, 3]	8	b1	0	0	0	1	0	0	1	1	4	3	3	2	15	[3, 4, 1, 2]	[4, 3, 1, 2]	[4, 2, 1, 3]	[4, 3, 2, 1]	[3, 2, 4, 1]	bio	101
101	[2, 4, 3, 1]	9	b3	0	0	0	0	1	1	2	1	1	1	1	1	17	[4, 2, 1, 3]	[2, 1, 4, 3]	[4, 3, 2, 1]	[1, 2, 3, 4]	[1, 4, 2, 3]	bio	101
101	[2, 3, 4, 1]	10	p2	0	1	1	0	0	0	2	1	4	1	3	1	19	[2, 4, 1, 3]	[1, 4, 3, 2]	[2, 3, 4, 1]	[3, 2, 4, 1]	[3, 1, 2, 4]	physik	101
101	[2, 3, 4, 1]	11	p5	0	0	0	0	0	1	3	1	2	3	2	2	20	[2, 1, 3, 4]	[4, 2, 3, 1]	[3, 4, 2, 1]	[1, 4, 3, 2]	[2, 1, 3, 4]	physik	101
101	[4, 2, 1, 3]	12	p3	0	0	1	1	0	0	4	1	3	4	1	4	22	[4, 1, 3, 2]	[2, 1, 3, 4]	[3, 4, 2, 1]	[3, 2, 1, 4]	[1, 4, 3, 2]	physik	101
102	[4, 2, 1, 3]	1	b4	1	0	0	1	0	1	1	1	4	3	3	4	3	[1, 4, 2, 3]	[4, 1, 3, 2]	[2, 3, 1, 4]	[4, 3, 2, 1]	[4, 3, 2, 1]	bio	102
102	[4, 1, 3, 2]	2	b3	1	0	0	1	1	1	4	1	4	2	3	1	7	[4, 3, 2, 1]	[3, 2, 1, 4]	[3, 1, 2, 4]	[3, 2, 1, 4]	[1, 3, 4, 2]	bio	102
102	[2, 4, 3, 1]	3	p2	0	1	0	1	0	1	3	3	3	4	1	2	10	[2, 1, 4, 3]	[2, 3, 1, 4]	[4, 3, 2, 1]	[3, 2, 1, 4]	[4, 1, 2, 3]	physik	102
102	[1, 4, 2, 3]	4	p5	0	0	1	1	1	1	4	1	1	4	3	2	14	[4, 3, 1, 2]	[3, 2, 1, 4]	[2, 3, 4, 1]	[3, 4, 1, 2]	[2, 1, 4, 3]	physik	102
102	[4, 1, 3, 2]	5	b1	0	1	1	1	1	1	1	3	2	2	2	2	19	[3, 4, 1, 2]	[2, 3, 1, 4]	[4, 1, 2, 3]	[3, 1, 4, 2]	[2, 1, 4, 3]	bio	102
102	[2, 4, 1, 3]	6	p3	0	1	0	0	1	0	4	2	4	4	4	3	21	[4, 2, 1, 3]	[3, 1, 4, 2]	[1, 2, 4, 3]	[2, 4, 3, 1]	[2, 4, 3, 1]	physik	102
102	[1, 3, 4, 2]	7	p1	0	1	0	0	1	0	1	2	2	3	3	1	23	[2, 3, 4, 1]	[3, 1, 4, 2]	[4, 3, 2, 1]	[2, 3, 1, 4]	[2, 1, 3, 4]	physik	102
102	[2, 4, 3, 1]	8	p4	1	0	0	0	1	1	1	4	1	4	3	2	26	[1, 2, 3, 4]	[2, 4, 1, 3]	[1, 4, 3, 2]	[2, 4, 1, 3]	[3, 1, 2, 4]	physik	102
102	[1, 3, 2, 4]	9	b0	0	0	0	1	1	0	4	3	4	4	2	3	28	[2, 1, 4, 3]	[1, 2, 3, 4]	[2, 4, 3, 1]	[4, 1, 2, 3]	[1, 3, 2, 4]	bio	102
102	[3, 2, 4, 1]	10	b2	1	1	1	1	0	1	1	1	4	1	2	4	33	[1, 2, 3, 4]	[1, 4, 2, 3]	[1, 2, 3, 4]	[1, 4, 3, 2]	[3, 2, 4, 1]	bio	102
102	[3, 4, 2, 1]	11	p0	0	0	0	1	0	0	1	1	3	3	4	2	34	[2, 3, 4, 1]	[4, 2, 3, 1]	[4, 2, 1, 3]	[2, 1, 4, 3]	[3, 4, 1, 2]	physik	102
102	[3, 2, 1, 4]	12	b5	1	1	1	1	1	1	1	1	3	4	2	3	40	[1, 2, 4, 3]	[1, 2, 3, 4]	[3, 4, 2, 1]	[2, 1, 4, 3]	[3, 4, 1, 2]	bio	102
103	[4, 3, 2, 1]	1	b2	0	1	1	1	0	1	3	2	4	2	4	2	4	[1, 4, 2, 3]	[2, 1, 3, 4]	[4, 1, 2, 3]	[4, 3, 1, 2]	[4, 1, 2, 3]	bio	103
103	[1, 3, 2, 4]	2	p1	0	1	0	0	0	0	1	3	4	3	4	4	5	[2, 3, 1, 4]	[4, 2, 1, 3]	[3, 4, 2, 1]	[1, 4, 2, 3]	[4, 1, 2, 3]	physik	103
103	[4, 1, 2, 3]	3	b3	1	0	0	0	0	1	1	4	3	1	1	3	7	[1, 2, 4, 3]	[1, 4, 2, 3]	[4, 2, 1, 3]	[2, 3, 4, 1]	[4, 2, 1, 3]	bio	103
103	[1, 3, 2, 4]	4	p5	0	0	0	1	1	1	1	1	3	1	4	2	10	[4, 2, 3, 1]	[4, 1, 3, 2]	[1, 4, 2, 3]	[2, 3, 4, 1]	[2, 1, 3, 4]	physik	103
103	[3, 1, 2, 4]	5	b1	0	0	0	1	1	0	2	4	1	3	3	2	12	[1, 3, 4, 2]	[1, 2, 4, 3]	[2, 3, 1, 4]	[3, 2, 1, 4]	[1, 2, 3, 4]	bio	103
103	[4, 1, 2, 3]	6	p0	0	0	0	0	0	0	3	1	1	1	4	1	12	[3, 1, 4, 2]	[2, 3, 1, 4]	[4, 2, 1, 3]	[4, 1, 2, 3]	[4, 1, 3, 2]	physik	103
103	[2, 4, 3, 1]	7	p4	0	0	0	1	1	0	3	2	1	4	4	3	14	[4, 2, 3, 1]	[1, 2, 3, 4]	[4, 2, 3, 1]	[4, 3, 2, 1]	[2, 4, 3, 1]	physik	103
103	[4, 2, 3, 1]	8	p2	0	0	0	1	1	1	3	2	2	2	4	2	17	[1, 2, 4, 3]	[2, 3, 1, 4]	[2, 1, 4, 3]	[2, 3, 4, 1]	[4, 1, 3, 2]	physik	103
103	[2, 3, 4, 1]	9	b0	0	1	0	1	1	1	2	3	1	2	4	3	21	[1, 3, 4, 2]	[4, 2, 1, 3]	[3, 1, 4, 2]	[3, 4, 2, 1]	[2, 3, 1, 4]	bio	103
103	[3, 1, 2, 4]	10	b5	1	1	1	1	1	0	4	1	2	4	2	1	26	[2, 3, 4, 1]	[1, 4, 3, 2]	[4, 3, 2, 1]	[4, 1, 2, 3]	[2, 1, 3, 4]	bio	103
103	[1, 2, 4, 3]	11	b4	0	0	0	1	1	1	1	3	4	3	3	4	29	[3, 2, 4, 1]	[4, 1, 2, 3]	[3, 2, 1, 4]	[2, 3, 1, 4]	[2, 4, 3, 1]	bio	103
103	[1, 2, 3, 4]	12	p3	1	1	1	1	0	1	3	2	1	3	3	1	34	[2, 3, 1, 4]	[2, 1, 3, 4]	[3, 2, 1, 4]	[1, 3, 2, 4]	[1, 3, 4, 2]	physik	103
105	[1, 3, 2, 4]	1	p3	0	0	1	0	0	1	3	2	1	4	4	1	2	[1, 4, 2, 3]	[1, 2, 3, 4]	[3, 4, 1, 2]	[3, 1, 4, 2]	[1, 3, 4, 2]	physik	105
105	[4, 1, 3, 2]	2	b3	0	1	0	1	0	1	1	3	4	3	3	3	5	[4, 2, 1, 3]	[3, 2, 1, 4]	[2, 4, 1, 3]	[1, 2, 4, 3]	[2, 3, 1, 4]	bio	105
105	[3, 2, 1, 4]	3	b0	1	1	1	0	1	1	2	1	3	1	1	1	10	[4, 1, 3, 2]	[1, 4, 2, 3]	[2, 1, 4, 3]	[1, 3, 4, 2]	[1, 3, 2, 4]	bio	105
105	[2, 4, 1, 3]	4	b1	0	0	1	1	0	0	4	1	3	3	3	3	12	[2, 1, 4, 3]	[3, 4, 1, 2]	[3, 2, 1, 4]	[4, 3, 2, 1]	[1, 2, 4, 3]	bio	105
105	[3, 2, 4, 1]	5	p0	1	0	0	1	0	1	4	2	3	3	3	1	15	[4, 3, 2, 1]	[1, 3, 2, 4]	[3, 2, 1, 4]	[4, 2, 3, 1]	[1, 2, 4, 3]	physik	105
105	[4, 3, 2, 1]	6	b2	1	1	1	0	1	0	2	3	4	4	3	4	19	[2, 1, 3, 4]	[4, 3, 1, 2]	[3, 1, 4, 2]	[2, 3, 1, 4]	[3, 1, 2, 4]	bio	105
105	[2, 1, 3, 4]	7	p4	0	0	1	1	0	0	2	2	2	3	4	3	21	[1, 3, 2, 4]	[1, 3, 4, 2]	[3, 4, 1, 2]	[1, 4, 2, 3]	[1, 3, 2, 4]	physik	105
105	[2, 3, 4, 1]	8	p1	0	0	0	0	1	1	2	3	3	1	1	3	23	[2, 3, 4, 1]	[4, 2, 3, 1]	[3, 2, 4, 1]	[1, 4, 3, 2]	[3, 4, 1, 2]	physik	105
105	[4, 2, 3, 1]	9	p5	0	0	0	1	0	1	1	1	3	2	1	4	25	[2, 4, 1, 3]	[4, 1, 3, 2]	[2, 1, 3, 4]	[2, 1, 4, 3]	[4, 3, 2, 1]	physik	105
105	[3, 4, 2, 1]	10	b4	1	0	0	1	1	1	4	3	1	4	2	1	29	[2, 3, 4, 1]	[3, 4, 2, 1]	[2, 4, 3, 1]	[3, 1, 2, 4]	[1, 3, 2, 4]	bio	105
105	[2, 3, 4, 1]	11	b5	0	1	0	1	1	1	3	3	1	2	4	3	33	[2, 1, 4, 3]	[4, 3, 1, 2]	[3, 1, 4, 2]	[3, 2, 4, 1]	[3, 2, 1, 4]	bio	105
105	[3, 2, 1, 4]	12	p2	0	1	0	0	1	1	2	4	1	2	4	4	36	[2, 4, 1, 3]	[3, 2, 4, 1]	[4, 2, 3, 1]	[2, 3, 4, 1]	[3, 4, 2, 1]	physik	105
12	[1, 2, 3, 4]	1	b1	0	1	1	1	1	1	4	1	1	4	4	3	5	[1, 2, 4, 3]	[1, 4, 3, 2]	[4, 3, 2, 1]	[4, 2, 3, 1]	[2, 3, 1, 4]	bio	12
12	[4, 2, 1, 3]	2	b0	0	1	1	0	0	0	2	1	3	2	4	2	7	[1, 4, 2, 3]	[1, 4, 2, 3]	[1, 2, 4, 3]	[1, 2, 3, 4]	[1, 4, 3, 2]	bio	12
12	[3, 1, 4, 2]	3	b4	0	0	0	0	0	0	2	2	1	4	3	3	7	[3, 4, 1, 2]	[1, 4, 2, 3]	[3, 2, 1, 4]	[2, 4, 3, 1]	[2, 4, 3, 1]	bio	12
12	[3, 4, 2, 1]	4	p5	0	0	0	1	0	1	1	4	3	2	4	4	9	[2, 1, 3, 4]	[3, 1, 2, 4]	[2, 1, 3, 4]	[4, 2, 1, 3]	[4, 3, 2, 1]	physik	12
12	[2, 4, 1, 3]	5	b2	0	1	0	1	1	1	2	1	1	1	3	3	13	[1, 2, 3, 4]	[1, 3, 4, 2]	[1, 3, 4, 2]	[2, 3, 1, 4]	[4, 2, 1, 3]	bio	12
12	[4, 2, 1, 3]	6	b5	0	0	0	1	1	0	2	1	2	1	1	3	15	[1, 2, 4, 3]	[2, 1, 4, 3]	[1, 2, 3, 4]	[1, 2, 4, 3]	[1, 2, 4, 3]	bio	12
12	[1, 3, 4, 2]	7	p3	1	0	1	1	0	1	3	1	1	2	1	1	19	[2, 3, 1, 4]	[2, 3, 4, 1]	[3, 1, 4, 2]	[2, 1, 3, 4]	[1, 3, 2, 4]	physik	12
12	[3, 4, 1, 2]	8	p2	0	0	0	0	1	0	4	1	2	3	3	3	20	[4, 3, 1, 2]	[2, 3, 4, 1]	[4, 3, 2, 1]	[3, 2, 1, 4]	[3, 1, 2, 4]	physik	12
12	[3, 2, 1, 4]	9	p0	1	1	1	1	0	0	4	4	3	1	3	4	24	[4, 3, 2, 1]	[2, 3, 4, 1]	[1, 2, 3, 4]	[3, 1, 4, 2]	[3, 4, 1, 2]	physik	12
12	[1, 2, 3, 4]	10	p4	1	0	0	1	1	0	2	4	4	4	4	1	27	[4, 1, 2, 3]	[2, 1, 3, 4]	[4, 2, 3, 1]	[3, 4, 2, 1]	[3, 1, 4, 2]	physik	12
12	[2, 4, 3, 1]	11	p1	1	1	0	1	0	1	3	3	3	1	3	2	31	[3, 2, 1, 4]	[2, 3, 1, 4]	[1, 2, 4, 3]	[1, 4, 2, 3]	[2, 1, 4, 3]	physik	12
12	[1, 2, 3, 4]	12	b3	0	0	0	0	1	1	2	3	2	1	2	3	33	[2, 4, 1, 3]	[3, 1, 4, 2]	[3, 2, 1, 4]	[2, 1, 3, 4]	[2, 3, 1, 4]	bio	12
13	[1, 4, 3, 2]	1	b4	1	0	0	0	1	0	4	4	3	4	3	4	2	[2, 4, 3, 1]	[1, 3, 2, 4]	[1, 4, 3, 2]	[4, 3, 1, 2]	[3, 1, 2, 4]	bio	13
13	[4, 2, 3, 1]	2	p3	0	0	1	1	1	1	2	3	4	2	2	2	6	[1, 2, 3, 4]	[1, 4, 3, 2]	[2, 1, 3, 4]	[3, 1, 2, 4]	[3, 1, 2, 4]	physik	13
13	[3, 1, 4, 2]	3	b5	0	0	0	1	1	1	3	1	3	1	1	4	9	[1, 3, 4, 2]	[4, 1, 3, 2]	[1, 2, 4, 3]	[1, 4, 2, 3]	[3, 4, 2, 1]	bio	13
13	[2, 4, 1, 3]	4	p5	0	0	0	1	0	1	3	4	1	2	1	4	11	[4, 3, 2, 1]	[2, 1, 3, 4]	[3, 1, 4, 2]	[3, 4, 1, 2]	[4, 3, 2, 1]	physik	13
13	[3, 1, 4, 2]	5	b2	0	1	1	1	1	1	4	4	2	3	3	3	16	[1, 4, 3, 2]	[2, 4, 3, 1]	[4, 2, 1, 3]	[3, 4, 1, 2]	[2, 4, 1, 3]	bio	13
13	[2, 1, 4, 3]	6	p4	0	0	1	1	1	0	1	3	2	3	2	2	19	[2, 3, 1, 4]	[3, 1, 2, 4]	[2, 4, 1, 3]	[3, 1, 2, 4]	[4, 3, 1, 2]	physik	13
13	[3, 1, 2, 4]	7	b3	0	0	1	0	1	1	1	3	2	2	1	2	22	[4, 2, 1, 3]	[4, 3, 2, 1]	[1, 3, 2, 4]	[1, 4, 3, 2]	[3, 1, 2, 4]	bio	13
13	[3, 4, 1, 2]	8	b1	1	1	0	0	0	1	2	3	4	1	4	3	25	[2, 1, 3, 4]	[2, 3, 1, 4]	[2, 3, 1, 4]	[4, 3, 1, 2]	[4, 3, 1, 2]	bio	13
13	[2, 4, 1, 3]	9	p2	0	0	1	1	0	0	2	3	3	3	4	3	27	[3, 4, 2, 1]	[2, 1, 4, 3]	[2, 4, 1, 3]	[3, 1, 4, 2]	[3, 4, 2, 1]	physik	13
13	[4, 3, 1, 2]	10	p1	1	0	0	0	1	1	1	2	1	4	1	4	30	[1, 4, 3, 2]	[1, 3, 2, 4]	[4, 1, 3, 2]	[1, 3, 4, 2]	[3, 4, 2, 1]	physik	13
13	[4, 3, 2, 1]	11	b0	0	0	0	1	1	0	2	3	3	4	3	1	32	[3, 2, 1, 4]	[1, 4, 2, 3]	[4, 2, 3, 1]	[2, 3, 1, 4]	[3, 1, 2, 4]	bio	13
13	[2, 1, 4, 3]	12	p0	1	0	0	0	0	1	4	2	3	3	3	1	34	[4, 2, 3, 1]	[4, 3, 1, 2]	[1, 2, 4, 3]	[4, 1, 2, 3]	[1, 4, 3, 2]	physik	13
14	[2, 3, 4, 1]	1	b0	0	0	1	1	1	0	1	3	4	1	2	2	3	[2, 1, 4, 3]	[4, 2, 3, 1]	[1, 3, 2, 4]	[2, 1, 4, 3]	[4, 2, 1, 3]	bio	14
14	[4, 2, 3, 1]	2	p4	1	0	0	1	0	0	2	2	2	3	3	1	5	[3, 1, 2, 4]	[3, 4, 2, 1]	[4, 3, 1, 2]	[1, 3, 4, 2]	[3, 4, 2, 1]	physik	14
14	[1, 4, 2, 3]	3	b4	1	1	0	0	0	1	3	2	4	4	4	3	8	[3, 4, 1, 2]	[2, 1, 3, 4]	[2, 4, 1, 3]	[3, 4, 1, 2]	[2, 3, 1, 4]	bio	14
14	[3, 4, 1, 2]	4	b2	0	0	0	0	0	1	3	2	4	3	2	4	9	[3, 4, 2, 1]	[1, 4, 2, 3]	[3, 1, 2, 4]	[3, 4, 1, 2]	[3, 2, 4, 1]	bio	14
14	[3, 2, 4, 1]	5	p0	1	0	0	1	1	1	3	3	2	3	2	1	13	[3, 4, 1, 2]	[2, 1, 4, 3]	[2, 4, 1, 3]	[3, 1, 2, 4]	[1, 2, 3, 4]	physik	14
14	[1, 3, 4, 2]	6	b5	0	0	0	1	1	0	1	1	3	1	1	3	15	[2, 4, 1, 3]	[3, 2, 1, 4]	[1, 4, 2, 3]	[1, 2, 3, 4]	[3, 1, 2, 4]	bio	14
14	[1, 3, 2, 4]	7	b1	0	0	0	1	1	1	1	3	2	2	4	1	18	[3, 1, 2, 4]	[4, 2, 3, 1]	[4, 1, 2, 3]	[4, 3, 2, 1]	[1, 4, 2, 3]	bio	14
14	[4, 1, 2, 3]	8	p3	0	0	1	1	1	0	1	3	2	3	2	3	21	[4, 2, 1, 3]	[3, 4, 2, 1]	[4, 2, 1, 3]	[4, 1, 3, 2]	[4, 3, 2, 1]	physik	14
14	[4, 2, 1, 3]	9	p2	1	0	0	0	0	1	4	1	1	3	3	4	23	[3, 2, 4, 1]	[3, 1, 2, 4]	[1, 3, 4, 2]	[3, 1, 2, 4]	[2, 4, 3, 1]	physik	14
