sent_index_in_text	sentence	dependency_tree	text_id_numeric	text_id
9	Das Molekül des Ethidiumbromids ist planar und kann sich zwischen den Basen der DNA-Fragmente einlagern.	(CS (S (NP (ART Das) (NN Molekül) (NP (ART des) (NN Ethidiumbromids))) (VAFIN ist) (ADJD planar)) (KON und) (S (VMFIN kann) (VP (PRF sich) (PP (APPR zwischen) (ART den) (NN Basen) (NP (ART der) (NN DNA-Fragmente))) (VVINF einlagern)))) ($. .)	0	b0
10	Nur nach dem Entstehen eines solchen Komplexes und durch das Beleuchten mit UV-Licht kann man die Polymerasekettenreaktion-Produkte in Form von Banden sehen und fotografieren.	(S (CPP (PP (ADV Nur) (APPR nach) (ART dem) (NN Entstehen) (NP (ART eines) (PIAT solchen) (NN Komplexes))) (KON und) (PP (APPR durch) (ART das) (NN Beleuchten) (PP (APPR mit) (NN UV-Licht)))) (VMFIN kann) (PIS man) (CVP (VP (NP (ART die) (NN Polymerasekettenreaktion-Produkte) (PP (APPR in) (NN Form) (PP (APPR von) (NN Banden)))) (VVINF sehen)) (KON und) (VP (VVINF fotografieren)))) ($. .)	0	b0
1	"Der entscheidende Durchbruch zur Aufstellung eines Ordnungsschemas gelang dem Quarkmodell, das die Vielzahl der bisher gefundenen als ""Elementarteilchen"" angenommenen Teilchen als Systeme mit innerer Struktur ansieht, die aus wenigen ""noch elementareren"" Teilchen zusammengesetzt sind."	"(S (NP (ART Der) (ADJA entscheidende) (NN Durchbruch) (PP (APPRART zur) (NN Aufstellung) (NP (ART eines) (NN Ordnungsschemas)))) (VVFIN gelang) (ART dem) (NN Quarkmodell)) ($, ,) (PRELS das) (ART die) (NN Vielzahl) (ART der) (AP (ADV bisher) (ADJA gefundenen)) (APPR als) ($LRB "") (PP (NN Elementarteilchen)) ($LRB "") (NP (S (NP (NP (AP (ADJA angenommenen)) (NN Teilchen))) (APPR als) (NN Systeme) (PP (APPR mit) (ADJA innerer) (NN Struktur)) (VVFIN ansieht))) ($, ,) (PRELS die) (APPR aus) (PIAT wenigen) ($LRB "") (AP (ADV noch) (ADJA elementareren)) ($LRB "") (PP (S (VP (PP (NN Teilchen)) (VVPP zusammengesetzt)) (VAFIN sind))) ($. .)"	9	p3
2	Trägt man die bisher bekannten Hadronen in einem Diagramm ein, in dem ihre Masse als Ordinate und ihr Spin als Abszisse gewählt wird, so fällt auf, dass es bestimmte Gruppen gibt, in denen die Teilchen in diesem Diagramm eng benachbart sind, d.h. gleichen Spin, gleiche Parität und fast gleiche Masse haben.	(AVP (S (VVFIN Trägt) (PIS man) (NP (ART die) (AP (ADV bisher) (ADJA bekannten)) (NN Hadronen)) (APPR in) (ART einem) (NN Diagramm) (PTKVZ ein))) ($, ,) (PP (CS (S (PP (APPR in) (PRELS dem)) (NP (PPOSAT ihre) (NN Masse)) (PP (APPR als) (NN Ordinate))) (KON und) (S (NP (PPOSAT ihr) (NN Spin)) (VP (PP (APPR als) (NN Abszisse)) (VVPP gewählt)) (VAFIN wird)))) ($, ,) (S (ADV so) (VVFIN fällt) (PTKVZ auf)) ($, ,) (S (KOUS dass) (PPER es) (ADJA bestimmte) (NN Gruppen) (VVFIN gibt)) ($, ,) (NP (CS (S (PP (APPR in) (PRELS denen)) (NP (ART die) (NN Teilchen)) (VP (PP (APPR in) (PDAT diesem) (NN Diagramm)) (ADJD eng) (VVPP benachbart)) (VAFIN sind)))) ($, ,) (S (VVFIN d.h.) (CNP (NP (ADJA gleichen) (NN Spin)))) ($, ,) (S (NP (ADJA gleiche) (NN Parität)) (KON und) (NP (AP (ADV fast) (ADJA gleiche)) (NN Masse)) (VAFIN haben)) ($. .)	9	p3
3	"Dies brachte Murray Gell-Mann und George Zweig unabhängig voneinander auf die Idee, dass Hadronen aus wenigen ""elementareren"" Teilchen zusammengesetzt sein sollten."	"(S (PDS Dies) (VVFIN brachte) (CNP (PN (NE Murray) (NE Gell-Mann)) (KON und) (PN (NE George) (NE Zweig))) (AP (ADJD unabhängig) (ADV voneinander)) (APPR auf) (ART die) (NN Idee)) ($, ,) (KOUS dass) (NN Hadronen) (APPR aus) (PIAT wenigen) ($LRB "") (ADJA elementareren) ($LRB "") (PP (S (VP (VP (PP (NN Teilchen)) (VVPP zusammengesetzt)) (VAINF sein)) (VMFIN sollten))) ($. .)"	9	p3
4	Diese Idee wurde unterstützt durch das anomale magnetische Moment des Neutrons, das als neutrales Teilchen eigentlich kein magnetisches Moment haben sollte, außer wenn es aus geladenen Teilchen zusammengesetzt ist, deren Ladungen sich zu null kompensieren.	(S (NP (PDAT Diese) (NN Idee)) (VAFIN wurde) (VP (VVPP unterstützt) (APPR durch) (ART das) (ADJA anomale) (ADJA magnetische) (NN Moment) (ART des) (NN Neutrons))) ($, ,) (PP (NP (S (PRELS das) (PP (APPR als) (ADJA neutrales) (NN Teilchen)) (ADV eigentlich) (VP (NP (PIAT kein) (ADJA magnetisches) (NN Moment)) (VAINF haben)) (VMFIN sollte)))) ($, ,) (S (APPR außer) (KOUS wenn) (PPER es) (VP (APPR aus) (ADJA geladenen) (NN Teilchen) (VVPP zusammengesetzt)) (VAFIN ist)) ($, ,) (PP (S (NP (PRELAT deren) (NN Ladungen)) (PRF sich) (PP (APPR zu) (CARD null)) (VVFIN kompensieren))) ($. .)	9	p3
5	Außerdem wurde bei der Streuung von hochenergetischen Elektronen und Protonen an Protonen und Neutronen gefunden, dass beide Nukleonen viele Anregungszustände haben.	(S (PROAV Außerdem) (VAFIN wurde) (VP (PP (APPR bei) (ART der) (NN Streuung) (PP (APPR von) (ADJA hochenergetischen) (CNP (NN Elektronen) (KON und) (NN Protonen))) (PP (APPR an) (CNP (NN Protonen) (KON und) (NN Neutronen)))) (VVPP gefunden))) ($, ,) (S (KOUS dass) (NP (PIAT beide) (NN Nukleonen)) (NP (PIAT viele) (NN Anregungszustände)) (VAFIN haben)) ($. .)	9	p3
6	"Sie können deshalb keine ""elementaren"" Teilchen sein, sondern müssen aus ""wirklich elementaren"" Teilchen bestehen."	"(CS (S (PPER Sie) (VMFIN können) (PROAV deshalb) (PIAT keine))) ($LRB "") (ADJA elementaren) ($LRB "") (VP (NP (NN Teilchen)) (VAINF sein)) ($, ,) (KON sondern) (S (VMFIN müssen) (APPR aus)) ($LRB "") (PP (AP (ADJD wirklich) (ADJA elementaren) ($LRB "") (NN Teilchen) (VVFIN bestehen))) ($. .)"	9	p3
1	Wurzeln entziehen dem Boden Wasser, aber sie nehmen auch essenzielle Mineralstoffe auf.	(CS (S (NN Wurzeln) (VVFIN entziehen) (NP (ART dem) (NN Boden)) (NN Wasser))) ($, ,) (KON aber) (S (PPER sie) (VVFIN nehmen) (ADV auch) (ADJA essenzielle) (NN Mineralstoffe) (PTKVZ auf)) ($. .)	2	b2
2	Böden sind heterogen und weisen Unterschiede auf kleinem Raum auf.	(CS (S (NN Böden) (VAFIN sind) (ADJD heterogen)) (KON und) (S (VVFIN weisen) (NN Unterschiede) (PP (APPR auf) (ADJA kleinem) (NN Raum)) (PTKVZ auf))) ($. .)	2	b2
3	Wurzeln, die durch den Boden wachsen, können auf Regionen treffen, die sich im Wasser- und Mineralstoffgehalt unterscheiden.	(NN Wurzeln) ($, ,) (NP (S (PRELS die) (PP (APPR durch) (ART den) (NN Boden)) (VVFIN wachsen))) ($, ,) (S (VMFIN können) (VP (APPR auf) (NN Regionen) (VVINF treffen))) ($, ,) (PP (S (PRELS die) (PRF sich) (PP (APPRART im) (CNP (TRUNC Wasser-) (KON und) (NN Mineralstoffgehalt))) (VVFIN unterscheiden))) ($. .)	2	b2
4	In den besser versorgten Regionen sind Wurzeln oft stark verzweigt.	(S (PP (APPR In) (ART den) (AP (ADJD besser) (ADJA versorgten)) (NN Regionen)) (VAFIN sind) (NN Wurzeln) (VP (ADV oft) (ADJD stark) (VVPP verzweigt))) ($. .)	2	b2
5	Für die Aufnahme mineralischer Nährstoffe ist die Wurzelarchitektur von ganz besonderer Bedeutung, weil sich unterschiedliche Mineralstoffe ganz verschieden verhalten und durch verschiedenartige Kräfte im Boden gehalten werden.	(S (PP (APPR Für) (ART die) (NN Aufnahme) (NP (ADJA mineralischer) (NN Nährstoffe))) (VAFIN ist) (NP (ART die) (NN Wurzelarchitektur)) (PP (APPR von) (AP (ADV ganz) (ADJA besonderer)) (NN Bedeutung))) ($, ,) (CS (S (KOUS weil) (PRF sich) (NP (ADJA unterschiedliche) (NN Mineralstoffe)) (AP (ADV ganz) (ADJD verschieden)) (VVFIN verhalten)) (KON und) (S (VP (PP (APPR durch) (ADJA verschiedenartige) (NN Kräfte)) (PP (APPRART im) (NN Boden)) (VVPP gehalten)) (VAFIN werden))) ($. .)	2	b2
6	Nitrationen diffundieren schnell im Bodenwasser.	(S (NN Nitrationen) (VVFIN diffundieren) (ADJD schnell) (PP (APPRART im) (NN Bodenwasser))) ($. .)	2	b2
7	Stark transpirierende Pflanzen können Nitrat schneller zur Wurzeloberfläche transportieren, als sie es im Pflanzenkörper anreichern können.	(S (NP (AP (ADJD Stark) (ADJA transpirierende)) (NN Pflanzen)) (VMFIN können) (VP (NN Nitrat) (AP (ADJD schneller)) (PP (APPRART zur) (NN Wurzeloberfläche)) (VVINF transportieren))) ($, ,) (S (KOKOM als) (PPER sie) (VP (PPER es) (PP (APPRART im) (NN Pflanzenkörper)) (VVINF anreichern)) (VMFIN können)) ($. .)	2	b2
8	Andere essenzielle Mineralstoffe wie Phosphat sind jedoch fest im Boden gebunden, sie haben niedrige Diffusionskoeffizienten.	(CS (S (NP (ADJA Andere) (ADJA essenzielle) (NN Mineralstoffe) (NP (KOKOM wie) (NN Phosphat))) (VAFIN sind) (VP (ADV jedoch) (ADJD fest) (PP (APPRART im) (NN Boden)) (VVPP gebunden)))) ($, ,) (S (PPER sie) (VAFIN haben) (NP (ADJA niedrige) (NN Diffusionskoeffizienten))) ($. .)	2	b2
9	Die Phosphatverarmungszonen von zwei Wurzeln, die sehr nah beieinander sind, überlappen sich kaum und ein reich verzweigtes Wurzelsystem erhöht die Phosphataufnahme bei knapper Phosphatversorgung daher enorm.	(ART Die) (NN Phosphatverarmungszonen) (APPR von) (CARD zwei) (NN Wurzeln) ($, ,) (NP (PP (S (PRELS die) (AP (AP (ADV sehr) (ADJD nah)) (ADV beieinander)) (VAFIN sind)))) ($, ,) (CS (S (VVFIN überlappen) (PRF sich) (ADV kaum)) (KON und) (S (NP (ART ein) (AP (ADJD reich) (ADJA verzweigtes)) (NN Wurzelsystem)) (VVFIN erhöht) (NP (ART die) (NN Phosphataufnahme)) (PP (APPR bei) (ADJA knapper) (NN Phosphatversorgung)) (PROAV daher) (ADJD enorm))) ($. .)	2	b2
10	Ein extensiv ausgebildetes Wurzelsystem mit größeren Zwischenräumen dagegen kann die Nitrataufnahme maximieren.	(S (NP (ART Ein) (AP (ADJD extensiv) (ADJA ausgebildetes)) (NN Wurzelsystem) (PP (APPR mit) (ADJA größeren) (NN Zwischenräumen)) (PROAV dagegen)) (VMFIN kann) (VP (NP (ART die) (NN Nitrataufnahme)) (VVINF maximieren))) ($. .)	2	b2
1	In der homologen Rekombinationsreparatur veranlasst RecA in Verbindung mit einer Reihe weiterer Proteine die Auflösung der angehaltenen Replikationsgabel:	(S (PP (APPR In) (ART der) (ADJA homologen) (NN Rekombinationsreparatur)) (VVFIN veranlasst) (NE RecA) (PP (APPR in) (NN Verbindung) (PP (APPR mit) (ART einer) (NN Reihe) (NP (ADJA weiterer) (NN Proteine)))) (NP (ART die) (NN Auflösung) (NP (ART der) (ADJA angehaltenen) (NN Replikationsgabel)))) ($. :)	1	b1
2	Kommt der Replikationskomplex an eine schadhafte DNA-Stelle, löst er sich und überspringt den Schaden, um an anderer Stelle fortzufahren.	(S (VVFIN Kommt) (NP (ART der) (NN Replikationskomplex)) (PP (APPR an) (ART eine) (ADJA schadhafte) (NN DNA-Stelle))) ($, ,) (CS (S (VVFIN löst) (PPER er) (PRF sich)) (KON und) (S (VVFIN überspringt) (NP (ART den) (NN Schaden)))) ($, ,) (VP (KOUI um) (PP (APPR an) (ADJA anderer) (NN Stelle)) (VVIZU fortzufahren)) ($. .)	1	b1
3	Es entsteht eine Replikationslücke im Tochterstrang, die über 800 Basen umfassen kann.	(S (PPER Es) (VVFIN entsteht) (ART eine) (NN Replikationslücke) (PP (APPRART im) (NN Tochterstrang))) ($, ,) (NP (S (PRELS die) (VP (NP (AP (ADV über) (CARD 800)) (NN Basen)) (VVINF umfassen)) (VMFIN kann))) ($. .)	1	b1
4	"Bei der ""rekombinatorischen Reparatur"" bindet das RecA-Protein an die Einzelstrang-DNA-Enden links und rechts der Replikationslücke und sucht die Schwesterchromatide oder das homologe Chromosom nach homologen Sequenzen ab."	"(APPR Bei) (ART der) ($LRB "") (PP (ADJA rekombinatorischen) (NN Reparatur)) ($LRB "") (CS (S (VVFIN bindet) (NP (ART das) (NN RecA-Protein)) (PP (APPR an) (ART die) (NN Einzelstrang-DNA-Enden) (PP (CAVP (ADV links) (KON und) (ADV rechts)) (NP (ART der) (NN Replikationslücke))))) (KON und) (S (VVFIN sucht) (CNP (NP (ART die) (NN Schwesterchromatide)) (KON oder) (NP (ART das) (ADJA homologe) (NN Chromosom))) (PP (APPR nach) (ADJA homologen) (NN Sequenzen)) (PTKVZ ab))) ($. .)"	1	b1
5	Ist eine solche Stelle gefunden, dringt der Komplex in die Doppelhelix ein, verdrängt den homologen und bindet den komplementären Strang.	(S (VAFIN Ist) (NP (ART eine) (PIAT solche) (NN Stelle)) (VVPP gefunden)) ($, ,) (CS (S (VVFIN dringt) (NP (ART der) (NN Komplex)) (PP (APPR in) (ART die) (NN Doppelhelix)) (PTKVZ ein))) ($, ,) (S (VVFIN verdrängt) (NP (ART den) (ADJA homologen))) (KON und) (S (VVFIN bindet) (NP (ART den) (ADJA komplementären) (NN Strang))) ($. .)	1	b1
6	Dieser dient dann als Matrize zum Auffüllen der Replikationslücke.	(S (PDS Dieser) (VVFIN dient) (ADV dann) (PP (APPR als) (NN Matrize) (PP (APPRART zum) (NN Auffüllen) (NP (ART der) (NN Replikationslücke))))) ($. .)	1	b1
7	Der verdrängte Strang paart sich mit dem Strang, der den DNA-Schaden aufweist.	(S (NP (ART Der) (ADJA verdrängte) (NN Strang)) (VVFIN paart) (PRF sich) (APPR mit) (ART dem) (NN Strang)) ($, ,) (PP (S (PRELS der) (NP (ART den) (NN DNA-Schaden)) (VVFIN aufweist))) ($. .)	1	b1
8	Durch Endonuklease-Schnitte und anschließende Ligation bilden sich letztendlich wieder zwei komplette Doppelhelices aus.	(S (PP (APPR Durch) (CNP (NN Endonuklease-Schnitte) (KON und) (NP (ADJA anschließende) (NN Ligation)))) (VVFIN bilden) (PRF sich) (ADV letztendlich) (ADV wieder) (NP (CARD zwei) (ADJA komplette) (NN Doppelhelices)) (PTKVZ aus)) ($. .)	1	b1
9	Zu beachten ist, dass der ursprüngliche DNA-Schaden bei dieser Reparatur nicht behoben wird, sondern nur die Lücke im Tochterstrang.	(S (VZ (PTKZU Zu) (VVINF beachten)) (VAFIN ist)) ($, ,) (S (KOUS dass) (CNP (NP (ART der) (ADJA ursprüngliche) (NN DNA-Schaden))) (VP (PP (APPR bei) (PDAT dieser) (NN Reparatur)) (PTKNEG nicht) (VVPP behoben)) (VAFIN wird)) ($, ,) (KON sondern) (NP (ADV nur) (ART die) (NN Lücke) (PP (APPRART im) (NN Tochterstrang))) ($. .)	1	b1
10	In Hefen und höheren Eukaryoten ist dieses System in ähnlicher Form ebenfalls vorhanden.	(S (PP (APPR In) (CNP (NN Hefen) (KON und) (NP (ADJA höheren) (NN Eukaryoten)))) (VAFIN ist) (NP (PDAT dieses) (NN System)) (PP (APPR in) (ADJA ähnlicher) (NN Form)) (ADV ebenfalls) (ADJD vorhanden)) ($. .)	1	b1
1	Photonische Kristalle sind räumlich periodische Anordnungen von dielektrischen Medien mit unterschiedlicher Dielektrizitätskonstante und damit unterschiedlichen Brechzahlen.	(S (NP (ADJA Photonische) (NN Kristalle)) (VAFIN sind) (NP (AP (ADJD räumlich) (ADJA periodische)) (NN Anordnungen) (PP (APPR von) (ADJA dielektrischen) (NN Medien)) (PP (APPR mit) (CNP (NP (ADJA unterschiedlicher) (NN Dielektrizitätskonstante)) (KON und) (NP (PROAV damit) (ADJA unterschiedlichen) (NN Brechzahlen)))))) ($. .)	8	p2
2	Man kann sie realisieren durch transparente Materialien, in die periodische Strukturen (z.B. dielektrische Mikrozylinder oder Kügelchen) eingebaut sind, deren Abstände in der Größenordnung der optischen Wellenlänge liegen.	(S (PIS Man) (VMFIN kann) (VP (PPER sie) (VVINF realisieren)) (APPR durch) (ADJA transparente) (NN Materialien)) ($, ,) (PP (APPR in) (PRELS die)) (ADJA periodische) (NN Strukturen) ($LRB -LRB-) (PP (NN z.B.)) (ADJA dielektrische) (CNP (NN Mikrozylinder) (KON oder) (NN Kügelchen)) ($LRB -RRB-) (PP (S (VP (VVPP eingebaut)) (VAFIN sind))) ($, ,) (NP (S (NP (PRELAT deren) (NN Abstände)) (PP (APPR in) (ART der) (NN Größenordnung) (NP (ART der) (ADJA optischen) (NN Wellenlänge))) (VVFIN liegen))) ($. .)	8	p2
3	Sie beeinflussen deshalb die Ausbreitung von Licht in diesen Materialien.	(S (PPER Sie) (VVFIN beeinflussen) (PROAV deshalb) (NP (ART die) (NN Ausbreitung) (PP (APPR von) (NN Licht)) (PP (APPR in) (PDAT diesen) (NN Materialien)))) ($. .)	8	p2
4	Fällt eine Lichtwelle auf diese Struktur, so wird ein Teil der Wellenamplitude an den Grenzflächen der periodischen Struktur reflektiert.	(AVP (S (VVFIN Fällt) (NP (ART eine) (NN Lichtwelle)) (PP (APPR auf) (PDAT diese) (NN Struktur)))) ($, ,) (S (ADV so) (VAFIN wird) (NP (ART ein) (NN Teil) (NP (ART der) (NN Wellenamplitude))) (VP (PP (APPR an) (ART den) (NN Grenzflächen) (NP (ART der) (ADJA periodischen) (NN Struktur))) (VVPP reflektiert))) ($. .)	8	p2
5	Ist die Periode der Struktur ein π-vielfaches der Wellenlänge, überlagern sich die reflektierten Anteile phasenrichtig und addieren sich deshalb.	(S (VAFIN Ist) (NP (ART die) (NN Periode) (NP (ART der) (NN Struktur))) (NP (ART ein) (PIS π-vielfaches) (NP (ART der) (NN Wellenlänge)))) ($, ,) (CS (S (VVFIN überlagern) (PRF sich) (NP (ART die) (ADJA reflektierten) (NN Anteile)) (ADJD phasenrichtig)) (KON und) (S (VVFIN addieren) (PRF sich) (PROAV deshalb))) ($. .)	8	p2
6	Das Reflexionsvermögen des Kristalls wird erhöht.	(S (NP (ART Das) (NN Reflexionsvermögen) (NP (ART des) (NN Kristalls))) (VAFIN wird) (VVPP erhöht)) ($. .)	8	p2
