Column name	Possible values	Value type	Description	Num missing values	Missing value description	Source
mean_acc_bq	min: 0.0, max: 1.0, mean: 0.6487, std: 0.3076	Float	The mean accuracy of all text questions for one text read by one reader.	1958		
text_domain_numeric	1: 71550, 0: 70575	Categorical	Numerical value of text_domain.	0		
trial	1-12	Integer	Each participant reads all 12 texts, the order of which follows their trial number. If text b0 has trial number 2 for participant 5, this participant read text b0 as the second text.	0		
text_id	b0, b1, b2, b3, b4, b5, p0, p1, p2, p3, p4, p5		Unique identifier given to each stimulus text.	0		
reader_id	0-105	Integer	The unique identifier given to each reader. Reader IDs start at 0.	0		
gender_numeric	1.0: 73905, 0.0: 66325, nan: 1895	Categorical	Numerical value of gender.	1895		
reader_domain_numeric	0: 81485, 1: 60640	Categorical	Numerical encoding of the reader domain.	0		
age	min: 18.0, max: 41.0, mean: 24.1644, std: 4.1809	Float	Reader's age.	3790		
expert_status_numeric	1: 89065, 0: 53060	Categorical	Numerical value of expert_status	0		
domain_expert_status_numeric	1: 51165, 3: 37900, 0: 30320, 2: 22740	Categorical	Numerical value of domain_expert_status	0		
