aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	90.0	283.0	509.0	338.0	591.0	von
0 RECTANGLE	91.0	338.0	509.0	436.0	591.0	Myosin
0 RECTANGLE	92.0	436.0	509.0	589.0	591.0	mitwirken.
0 RECTANGLE	93.0	589.0	509.0	633.0	591.0	In
0 RECTANGLE	94.0	633.0	509.0	689.0	591.0	den
0 RECTANGLE	95.0	689.0	509.0	772.0	591.0	nicht
0 RECTANGLE	96.0	772.0	509.0	927.0	591.0	muskulären
0 RECTANGLE	97.0	927.0	509.0	1024.0	591.0	Zellen
0 RECTANGLE	98.0	1024.0	509.0	1234.0	591.0	beispielsweise
0 RECTANGLE	99.0	1234.0	509.0	1403.0	591.0	registriert
0 RECTANGLE	100.0	1403.0	509.0	1464.0	591.0	eine
0 RECTANGLE	101.0	81.0	591.0	296.0	673.0	Calmodulinkette
0 RECTANGLE	102.0	296.0	591.0	352.0	673.0	die
0 RECTANGLE	103.0	352.0	591.0	521.0	673.0	Anwesenheit
0 RECTANGLE	104.0	521.0	591.0	577.0	673.0	von
0 RECTANGLE	105.0	577.0	591.0	759.0	673.0	Calciumionen
0 RECTANGLE	106.0	759.0	591.0	816.0	673.0	und
0 RECTANGLE	107.0	816.0	591.0	969.0	673.0	ermöglicht
0 RECTANGLE	108.0	969.0	591.0	1024.0	673.0	die
0 RECTANGLE	109.0	1024.0	591.0	1137.0	673.0	Bindung
0 RECTANGLE	110.0	1137.0	591.0	1192.0	673.0	von
0 RECTANGLE	111.0	1192.0	591.0	1291.0	673.0	Myosin
0 RECTANGLE	112.0	1291.0	591.0	1332.0	673.0	an
0 RECTANGLE	113.0	1332.0	591.0	1429.0	673.0	Aktin.
0 RECTANGLE	114.0	1429.0	591.0	1472.0	673.0	Je
0 RECTANGLE	115.0	1472.0	591.0	1543.0	673.0	nach
0 RECTANGLE	116.0	1543.0	591.0	1632.0	673.0	Klasse
0 RECTANGLE	117.0	82.0	673.0	143.0	755.0	kann
0 RECTANGLE	118.0	143.0	673.0	199.0	755.0	der
0 RECTANGLE	119.0	199.0	673.0	311.0	755.0	Schwanz
0 RECTANGLE	120.0	311.0	673.0	352.0	755.0	an
0 RECTANGLE	121.0	352.0	673.0	465.0	755.0	Vesikel
0 RECTANGLE	122.0	465.0	673.0	602.0	755.0	anlagern,
0 RECTANGLE	123.0	602.0	673.0	647.0	755.0	um
0 RECTANGLE	124.0	647.0	673.0	703.0	755.0	sie
0 RECTANGLE	125.0	703.0	673.0	815.0	755.0	entlang
0 RECTANGLE	126.0	815.0	673.0	869.0	755.0	des
0 RECTANGLE	127.0	869.0	673.0	1080.0	755.0	Aktinfilaments
0 RECTANGLE	128.0	1080.0	673.0	1123.0	755.0	zu
0 RECTANGLE	129.0	1123.0	673.0	1232.0	755.0	ziehen.
0 RECTANGLE	130.0	1232.0	673.0	1304.0	755.0	Alle
0 RECTANGLE	131.0	1304.0	673.0	1416.0	755.0	Myosine
0 RECTANGLE	132.0	1416.0	673.0	1472.0	755.0	bis
0 RECTANGLE	133.0	1472.0	673.0	1528.0	755.0	auf
0 RECTANGLE	134.0	1528.0	673.0	1619.0	755.0	Myosin
0 RECTANGLE	135.0	80.0	755.0	113.0	837.0	VI
0 RECTANGLE	136.0	113.0	755.0	227.0	837.0	bewegen
0 RECTANGLE	137.0	227.0	755.0	297.0	837.0	sich
0 RECTANGLE	138.0	297.0	755.0	353.0	837.0	zum
0 RECTANGLE	139.0	353.0	755.0	436.0	837.0	+Ende
0 RECTANGLE	140.0	436.0	755.0	491.0	837.0	des
0 RECTANGLE	141.0	491.0	755.0	714.0	837.0	Aktinfilaments.
0 RECTANGLE	142.0	714.0	755.0	815.0	837.0	Myosin
0 RECTANGLE	143.0	815.0	755.0	856.0	837.0	II
0 RECTANGLE	144.0	856.0	755.0	913.0	837.0	ist
0 RECTANGLE	145.0	913.0	755.0	969.0	837.0	ein
0 RECTANGLE	146.0	969.0	755.0	1065.0	837.0	Dimer,
0 RECTANGLE	147.0	1065.0	755.0	1108.0	837.0	es
0 RECTANGLE	148.0	1108.0	755.0	1165.0	837.0	hat
0 RECTANGLE	149.0	1165.0	755.0	1234.0	837.0	zwei
0 RECTANGLE	150.0	1234.0	755.0	1318.0	837.0	Köpfe
0 RECTANGLE	151.0	1318.0	755.0	1376.0	837.0	und
0 RECTANGLE	152.0	1376.0	755.0	1444.0	837.0	kann
0 RECTANGLE	153.0	1444.0	755.0	1501.0	837.0	mit
0 RECTANGLE	154.0	1501.0	755.0	1592.0	837.0	seinem
0 RECTANGLE	155.0	82.0	837.0	185.0	919.0	Schwanz
0 RECTANGLE	156.0	185.0	837.0	227.0	919.0	an
0 RECTANGLE	157.0	227.0	837.0	282.0	919.0	ein
0 RECTANGLE	158.0	282.0	837.0	422.0	919.0	bipolares
0 RECTANGLE	159.0	422.0	837.0	548.0	919.0	Filament
0 RECTANGLE	160.0	548.0	837.0	659.0	919.0	binden.
0 RECTANGLE	161.0	659.0	837.0	702.0	919.0	Es
0 RECTANGLE	162.0	702.0	837.0	759.0	919.0	ist
0 RECTANGLE	163.0	759.0	837.0	802.0	919.0	im
0 RECTANGLE	164.0	802.0	837.0	982.0	919.0	kontraktilen
0 RECTANGLE	165.0	982.0	837.0	1095.0	919.0	Apparat
0 RECTANGLE	166.0	1095.0	837.0	1150.0	919.0	der
0 RECTANGLE	167.0	1150.0	837.0	1333.0	919.0	Muskelzellen
0 RECTANGLE	168.0	1333.0	837.0	1376.0	919.0	zu
0 RECTANGLE	169.0	1376.0	837.0	1485.0	919.0	finden,
0 RECTANGLE	170.0	1485.0	837.0	1557.0	919.0	aber
0 RECTANGLE	171.0	1557.0	837.0	1619.0	919.0	auch
0 RECTANGLE	172.0	81.0	919.0	115.0	998.0	in
0 RECTANGLE	173.0	115.0	919.0	227.0	998.0	anderen
0 RECTANGLE	174.0	227.0	919.0	336.0	998.0	Zellen,
0 RECTANGLE	175.0	336.0	919.0	380.0	998.0	wo
0 RECTANGLE	176.0	380.0	919.0	422.0	998.0	es
0 RECTANGLE	177.0	422.0	919.0	465.0	998.0	am
0 RECTANGLE	178.0	465.0	919.0	799.0	998.0	Kontraktionsmechanismus
0 RECTANGLE	179.0	799.0	919.0	941.0	998.0	beteiligt
0 RECTANGLE	180.0	941.0	919.0	999.0	998.0	ist.
