version	text_id	text_domain	order_bq_1_ans	order_bq_2_ans	order_bq_3_ans	order_tq_1_ans	order_tq_2_ans	order_tq_3_ans	trial
1	p4	physics	[2, 3, 1, 4]	[2, 1, 4, 3]	[3, 4, 1, 2]	[2, 3, 1, 4]	[4, 1, 3, 2]	[2, 3, 1, 4]	2
1	b1	biology	[2, 1, 4, 3]	[2, 3, 4, 1]	[1, 3, 2, 4]	[3, 4, 1, 2]	[4, 2, 3, 1]	[1, 2, 3, 4]	3
1	p0	physics	[1, 4, 3, 2]	[3, 4, 1, 2]	[3, 1, 4, 2]	[1, 2, 3, 4]	[1, 3, 2, 4]	[3, 1, 2, 4]	4
1	p3	physics	[2, 1, 3, 4]	[4, 2, 1, 3]	[1, 2, 3, 4]	[1, 2, 3, 4]	[3, 1, 2, 4]	[4, 2, 1, 3]	5
1	p5	physics	[3, 2, 4, 1]	[1, 3, 4, 2]	[4, 2, 1, 3]	[2, 3, 1, 4]	[1, 3, 4, 2]	[2, 4, 3, 1]	6
1	b4	biology	[4, 1, 2, 3]	[2, 3, 1, 4]	[2, 4, 1, 3]	[3, 2, 4, 1]	[3, 1, 2, 4]	[2, 1, 4, 3]	7
1	b2	biology	[2, 3, 1, 4]	[4, 2, 3, 1]	[1, 4, 3, 2]	[1, 3, 4, 2]	[1, 4, 3, 2]	[1, 3, 4, 2]	8
1	b3	biology	[2, 4, 3, 1]	[2, 3, 4, 1]	[4, 1, 2, 3]	[2, 3, 4, 1]	[4, 3, 2, 1]	[2, 4, 3, 1]	9
1	b5	biology	[2, 3, 4, 1]	[2, 1, 3, 4]	[4, 1, 3, 2]	[1, 4, 2, 3]	[1, 3, 2, 4]	[2, 4, 1, 3]	10
1	p2	physics	[4, 3, 2, 1]	[1, 3, 4, 2]	[1, 4, 3, 2]	[1, 4, 3, 2]	[1, 2, 3, 4]	[2, 3, 4, 1]	11
1	p1	physics	[2, 4, 1, 3]	[4, 3, 1, 2]	[4, 1, 2, 3]	[3, 1, 2, 4]	[4, 2, 1, 3]	[3, 1, 2, 4]	12
2	p1	physics	[2, 1, 3, 4]	[3, 4, 2, 1]	[3, 1, 2, 4]	[2, 4, 1, 3]	[3, 4, 2, 1]	[2, 4, 1, 3]	1
2	p0	physics	[4, 3, 2, 1]	[3, 1, 4, 2]	[1, 3, 4, 2]	[3, 4, 1, 2]	[2, 4, 3, 1]	[3, 4, 2, 1]	2
2	p3	physics	[2, 3, 4, 1]	[3, 4, 2, 1]	[1, 3, 4, 2]	[3, 4, 2, 1]	[3, 1, 4, 2]	[3, 2, 4, 1]	3
2	p5	physics	[2, 3, 4, 1]	[1, 2, 3, 4]	[3, 1, 2, 4]	[4, 2, 3, 1]	[1, 2, 3, 4]	[1, 4, 2, 3]	4
2	b3	biology	[1, 4, 2, 3]	[4, 2, 3, 1]	[1, 2, 4, 3]	[2, 4, 3, 1]	[2, 1, 3, 4]	[3, 2, 4, 1]	5
2	b4	biology	[3, 2, 4, 1]	[3, 4, 2, 1]	[1, 3, 4, 2]	[3, 4, 1, 2]	[1, 4, 2, 3]	[2, 3, 4, 1]	6
2	b0	biology	[2, 1, 3, 4]	[2, 1, 4, 3]	[3, 4, 2, 1]	[4, 1, 3, 2]	[3, 2, 1, 4]	[3, 2, 4, 1]	7
2	b5	biology	[1, 3, 2, 4]	[2, 4, 1, 3]	[1, 4, 2, 3]	[1, 3, 2, 4]	[1, 3, 2, 4]	[2, 4, 3, 1]	8
2	b2	biology	[3, 2, 4, 1]	[1, 2, 4, 3]	[3, 2, 4, 1]	[3, 2, 1, 4]	[2, 4, 1, 3]	[4, 1, 2, 3]	9
2	b1	biology	[1, 3, 4, 2]	[4, 2, 3, 1]	[3, 2, 4, 1]	[2, 1, 3, 4]	[2, 4, 3, 1]	[4, 1, 3, 2]	10
2	p2	physics	[4, 3, 1, 2]	[3, 1, 2, 4]	[3, 4, 2, 1]	[4, 2, 3, 1]	[1, 4, 2, 3]	[3, 1, 2, 4]	11
2	p4	physics	[1, 3, 2, 4]	[1, 4, 3, 2]	[3, 4, 1, 2]	[3, 2, 4, 1]	[1, 3, 2, 4]	[3, 2, 1, 4]	12
3	p1	physics	[2, 1, 3, 4]	[1, 4, 3, 2]	[4, 3, 1, 2]	[4, 3, 1, 2]	[3, 2, 4, 1]	[4, 3, 2, 1]	1
3	p3	physics	[2, 1, 3, 4]	[2, 3, 4, 1]	[3, 4, 2, 1]	[2, 1, 3, 4]	[1, 4, 3, 2]	[2, 4, 1, 3]	2
3	b4	biology	[3, 1, 2, 4]	[4, 2, 1, 3]	[4, 2, 3, 1]	[2, 3, 4, 1]	[3, 2, 4, 1]	[3, 4, 1, 2]	3
3	p5	physics	[4, 2, 3, 1]	[1, 4, 2, 3]	[3, 2, 1, 4]	[1, 2, 4, 3]	[4, 1, 3, 2]	[3, 2, 1, 4]	4
3	b1	biology	[1, 4, 3, 2]	[2, 1, 4, 3]	[1, 3, 2, 4]	[3, 1, 4, 2]	[4, 3, 2, 1]	[2, 4, 1, 3]	5
3	b5	biology	[4, 1, 3, 2]	[2, 4, 1, 3]	[3, 2, 1, 4]	[2, 1, 4, 3]	[4, 1, 3, 2]	[2, 3, 1, 4]	6
3	p2	physics	[4, 2, 3, 1]	[2, 4, 1, 3]	[3, 4, 2, 1]	[1, 4, 2, 3]	[3, 2, 4, 1]	[2, 4, 1, 3]	7
3	b3	biology	[2, 3, 4, 1]	[2, 1, 3, 4]	[2, 1, 3, 4]	[2, 3, 4, 1]	[3, 4, 1, 2]	[4, 2, 3, 1]	8
3	b0	biology	[4, 1, 2, 3]	[4, 1, 3, 2]	[4, 2, 1, 3]	[3, 1, 4, 2]	[1, 2, 3, 4]	[3, 2, 1, 4]	9
3	p0	physics	[3, 2, 4, 1]	[1, 2, 3, 4]	[4, 3, 1, 2]	[2, 4, 3, 1]	[3, 2, 4, 1]	[2, 1, 4, 3]	10
3	b2	biology	[1, 3, 4, 2]	[2, 3, 4, 1]	[1, 3, 2, 4]	[4, 1, 2, 3]	[4, 2, 1, 3]	[4, 1, 3, 2]	11
3	p4	physics	[3, 2, 4, 1]	[3, 4, 2, 1]	[4, 3, 2, 1]	[2, 3, 4, 1]	[2, 1, 4, 3]	[1, 4, 3, 2]	12
4	b0	biology	[2, 3, 4, 1]	[3, 2, 1, 4]	[2, 4, 3, 1]	[4, 2, 1, 3]	[4, 2, 1, 3]	[3, 4, 2, 1]	1
4	b2	biology	[1, 3, 2, 4]	[3, 4, 1, 2]	[3, 4, 2, 1]	[2, 3, 1, 4]	[4, 3, 1, 2]	[1, 3, 4, 2]	2
4	p2	physics	[2, 4, 1, 3]	[2, 3, 4, 1]	[4, 1, 2, 3]	[3, 2, 1, 4]	[2, 3, 1, 4]	[3, 4, 2, 1]	3
4	b5	biology	[1, 4, 2, 3]	[4, 1, 2, 3]	[2, 1, 4, 3]	[1, 2, 3, 4]	[3, 2, 4, 1]	[3, 1, 2, 4]	4
4	p3	physics	[4, 2, 1, 3]	[4, 1, 3, 2]	[2, 3, 4, 1]	[3, 4, 2, 1]	[4, 2, 3, 1]	[4, 1, 3, 2]	5
4	p0	physics	[3, 1, 2, 4]	[3, 2, 1, 4]	[4, 1, 3, 2]	[2, 3, 1, 4]	[2, 1, 4, 3]	[3, 4, 2, 1]	6
4	b1	biology	[4, 3, 2, 1]	[4, 3, 1, 2]	[1, 3, 2, 4]	[4, 3, 1, 2]	[1, 2, 3, 4]	[2, 4, 1, 3]	7
4	b4	biology	[1, 4, 2, 3]	[4, 2, 3, 1]	[3, 1, 4, 2]	[3, 2, 4, 1]	[2, 1, 3, 4]	[1, 2, 3, 4]	8
4	p1	physics	[2, 4, 3, 1]	[4, 2, 1, 3]	[3, 2, 4, 1]	[4, 2, 1, 3]	[1, 2, 3, 4]	[1, 2, 4, 3]	9
4	p5	physics	[4, 2, 1, 3]	[4, 2, 3, 1]	[2, 1, 3, 4]	[2, 3, 4, 1]	[1, 2, 3, 4]	[4, 2, 1, 3]	10
4	p4	physics	[3, 2, 1, 4]	[3, 4, 2, 1]	[4, 2, 3, 1]	[2, 1, 4, 3]	[3, 4, 1, 2]	[2, 4, 1, 3]	11
4	b3	biology	[2, 4, 3, 1]	[3, 4, 1, 2]	[4, 3, 2, 1]	[3, 2, 4, 1]	[3, 2, 1, 4]	[3, 4, 2, 1]	12
5	p3	physics	[4, 1, 2, 3]	[3, 1, 2, 4]	[2, 3, 1, 4]	[4, 2, 3, 1]	[4, 3, 2, 1]	[4, 2, 3, 1]	1
5	b1	biology	[2, 4, 3, 1]	[1, 2, 3, 4]	[3, 1, 4, 2]	[4, 3, 2, 1]	[4, 3, 1, 2]	[1, 3, 4, 2]	2
5	b3	biology	[2, 1, 3, 4]	[2, 1, 3, 4]	[3, 2, 1, 4]	[3, 2, 1, 4]	[4, 1, 3, 2]	[2, 3, 4, 1]	3
5	b4	biology	[2, 3, 4, 1]	[1, 3, 2, 4]	[2, 4, 1, 3]	[1, 3, 2, 4]	[3, 4, 2, 1]	[3, 4, 1, 2]	4
5	p5	physics	[3, 2, 4, 1]	[1, 2, 3, 4]	[3, 1, 4, 2]	[1, 3, 2, 4]	[3, 2, 4, 1]	[2, 1, 3, 4]	5
5	p2	physics	[2, 3, 4, 1]	[4, 3, 2, 1]	[2, 1, 4, 3]	[2, 1, 4, 3]	[2, 1, 4, 3]	[4, 3, 2, 1]	6
5	p4	physics	[4, 2, 3, 1]	[2, 4, 3, 1]	[2, 3, 4, 1]	[1, 2, 4, 3]	[4, 1, 2, 3]	[3, 1, 2, 4]	7
5	p1	physics	[2, 1, 4, 3]	[1, 2, 3, 4]	[4, 2, 1, 3]	[2, 1, 4, 3]	[1, 2, 3, 4]	[2, 3, 1, 4]	8
5	b0	biology	[1, 3, 2, 4]	[4, 1, 3, 2]	[3, 1, 2, 4]	[2, 4, 1, 3]	[4, 3, 2, 1]	[3, 1, 4, 2]	9
5	b5	biology	[2, 1, 4, 3]	[1, 3, 4, 2]	[3, 1, 4, 2]	[3, 1, 2, 4]	[1, 3, 2, 4]	[4, 3, 2, 1]	10
5	b2	biology	[1, 4, 3, 2]	[3, 4, 1, 2]	[1, 4, 3, 2]	[2, 4, 1, 3]	[4, 3, 2, 1]	[4, 3, 1, 2]	11
5	p0	physics	[1, 2, 3, 4]	[3, 4, 2, 1]	[1, 4, 2, 3]	[3, 4, 2, 1]	[1, 2, 3, 4]	[1, 2, 3, 4]	12
6	p1	physics	[1, 3, 2, 4]	[2, 4, 3, 1]	[2, 4, 3, 1]	[2, 3, 1, 4]	[1, 3, 4, 2]	[1, 3, 2, 4]	1
6	b1	biology	[2, 4, 3, 1]	[3, 2, 4, 1]	[3, 2, 4, 1]	[1, 3, 4, 2]	[3, 1, 2, 4]	[4, 1, 3, 2]	2
6	p5	physics	[4, 3, 1, 2]	[4, 2, 1, 3]	[2, 1, 3, 4]	[4, 1, 2, 3]	[4, 1, 3, 2]	[4, 3, 1, 2]	3
6	b2	biology	[1, 3, 4, 2]	[3, 1, 2, 4]	[3, 4, 1, 2]	[2, 4, 1, 3]	[3, 1, 2, 4]	[1, 4, 3, 2]	4
6	p0	physics	[3, 1, 4, 2]	[1, 2, 4, 3]	[1, 3, 4, 2]	[2, 4, 1, 3]	[2, 4, 3, 1]	[1, 3, 2, 4]	5
6	b5	biology	[3, 4, 2, 1]	[4, 2, 1, 3]	[4, 1, 2, 3]	[4, 1, 3, 2]	[2, 4, 3, 1]	[1, 3, 4, 2]	6
6	p4	physics	[2, 1, 3, 4]	[3, 1, 4, 2]	[2, 4, 3, 1]	[2, 1, 4, 3]	[4, 2, 3, 1]	[1, 4, 2, 3]	7
6	p3	physics	[2, 3, 4, 1]	[2, 4, 3, 1]	[1, 3, 2, 4]	[4, 3, 2, 1]	[2, 1, 3, 4]	[4, 3, 2, 1]	8
6	b4	biology	[4, 1, 2, 3]	[2, 4, 1, 3]	[1, 2, 4, 3]	[2, 4, 3, 1]	[2, 3, 1, 4]	[4, 3, 1, 2]	9
6	b0	biology	[4, 3, 1, 2]	[4, 2, 3, 1]	[3, 1, 2, 4]	[4, 3, 1, 2]	[4, 1, 3, 2]	[4, 3, 1, 2]	10
6	p2	physics	[3, 4, 2, 1]	[1, 3, 4, 2]	[4, 3, 1, 2]	[3, 2, 1, 4]	[3, 4, 1, 2]	[2, 4, 3, 1]	11
6	b3	biology	[4, 2, 3, 1]	[2, 1, 4, 3]	[1, 4, 3, 2]	[3, 1, 4, 2]	[4, 3, 1, 2]	[4, 2, 3, 1]	12
7	p3	physics	[2, 1, 3, 4]	[4, 1, 3, 2]	[1, 4, 3, 2]	[4, 1, 2, 3]	[3, 2, 1, 4]	[1, 2, 4, 3]	1
7	b2	biology	[2, 3, 4, 1]	[2, 4, 3, 1]	[1, 3, 2, 4]	[4, 1, 3, 2]	[3, 1, 2, 4]	[4, 3, 1, 2]	2
7	b1	biology	[4, 2, 1, 3]	[1, 4, 3, 2]	[4, 2, 1, 3]	[1, 3, 2, 4]	[4, 1, 3, 2]	[3, 2, 4, 1]	3
7	b5	biology	[1, 2, 4, 3]	[2, 3, 4, 1]	[3, 4, 2, 1]	[1, 4, 2, 3]	[4, 3, 2, 1]	[2, 1, 4, 3]	4
7	b0	biology	[3, 1, 4, 2]	[3, 4, 1, 2]	[2, 3, 1, 4]	[1, 3, 4, 2]	[1, 2, 3, 4]	[3, 1, 4, 2]	5
7	p5	physics	[1, 4, 2, 3]	[3, 2, 1, 4]	[4, 2, 3, 1]	[2, 1, 4, 3]	[3, 2, 1, 4]	[2, 3, 1, 4]	6
7	p0	physics	[1, 4, 3, 2]	[2, 3, 4, 1]	[4, 3, 2, 1]	[3, 1, 4, 2]	[4, 3, 2, 1]	[1, 4, 2, 3]	7
7	p2	physics	[3, 4, 1, 2]	[3, 1, 4, 2]	[2, 3, 1, 4]	[3, 2, 4, 1]	[2, 4, 1, 3]	[1, 4, 2, 3]	8
7	p4	physics	[1, 4, 2, 3]	[2, 1, 4, 3]	[1, 4, 2, 3]	[1, 3, 4, 2]	[1, 3, 2, 4]	[1, 2, 3, 4]	9
7	b3	biology	[2, 4, 1, 3]	[3, 4, 1, 2]	[2, 1, 3, 4]	[2, 3, 4, 1]	[4, 1, 3, 2]	[2, 4, 1, 3]	10
7	p1	physics	[2, 4, 1, 3]	[2, 1, 4, 3]	[1, 2, 4, 3]	[3, 2, 4, 1]	[3, 4, 1, 2]	[1, 4, 3, 2]	11
7	b4	biology	[4, 2, 3, 1]	[3, 1, 2, 4]	[4, 3, 1, 2]	[1, 2, 3, 4]	[3, 1, 2, 4]	[4, 1, 3, 2]	12
8	b2	biology	[3, 1, 2, 4]	[4, 1, 2, 3]	[1, 3, 4, 2]	[4, 3, 2, 1]	[4, 2, 1, 3]	[3, 4, 2, 1]	1
8	p0	physics	[2, 3, 4, 1]	[2, 1, 3, 4]	[3, 1, 2, 4]	[4, 3, 1, 2]	[3, 1, 2, 4]	[2, 4, 1, 3]	2
8	b5	biology	[1, 4, 2, 3]	[1, 2, 3, 4]	[3, 1, 2, 4]	[3, 2, 1, 4]	[1, 3, 2, 4]	[4, 1, 3, 2]	3
8	b0	biology	[3, 1, 4, 2]	[4, 1, 3, 2]	[1, 3, 2, 4]	[2, 4, 3, 1]	[3, 4, 2, 1]	[4, 3, 2, 1]	4
8	b4	biology	[2, 4, 1, 3]	[1, 4, 2, 3]	[4, 2, 1, 3]	[4, 3, 1, 2]	[2, 1, 4, 3]	[2, 3, 1, 4]	5
8	p4	physics	[4, 1, 2, 3]	[2, 3, 4, 1]	[1, 3, 4, 2]	[4, 3, 1, 2]	[2, 1, 3, 4]	[2, 4, 3, 1]	6
8	p2	physics	[2, 4, 1, 3]	[3, 1, 4, 2]	[4, 1, 2, 3]	[4, 3, 1, 2]	[4, 2, 3, 1]	[1, 2, 4, 3]	7
8	p5	physics	[4, 1, 3, 2]	[2, 3, 4, 1]	[3, 4, 2, 1]	[1, 2, 4, 3]	[2, 3, 4, 1]	[3, 1, 4, 2]	8
8	p1	physics	[3, 1, 4, 2]	[3, 2, 4, 1]	[3, 2, 1, 4]	[4, 1, 3, 2]	[4, 3, 2, 1]	[1, 4, 2, 3]	9
8	b3	biology	[4, 2, 1, 3]	[1, 2, 4, 3]	[4, 2, 3, 1]	[2, 1, 4, 3]	[4, 1, 3, 2]	[1, 3, 2, 4]	10
8	b1	biology	[4, 3, 1, 2]	[1, 2, 4, 3]	[3, 1, 4, 2]	[2, 1, 3, 4]	[1, 2, 3, 4]	[3, 2, 4, 1]	11
8	p3	physics	[1, 4, 3, 2]	[3, 4, 1, 2]	[4, 2, 3, 1]	[2, 1, 3, 4]	[2, 3, 4, 1]	[3, 1, 4, 2]	12
9	p0	physics	[2, 4, 1, 3]	[4, 3, 2, 1]	[1, 2, 4, 3]	[4, 3, 1, 2]	[1, 3, 4, 2]	[4, 2, 1, 3]	1
9	b3	biology	[3, 4, 2, 1]	[4, 2, 1, 3]	[2, 1, 4, 3]	[2, 4, 1, 3]	[2, 1, 3, 4]	[1, 3, 4, 2]	2
9	p2	physics	[3, 4, 1, 2]	[1, 2, 4, 3]	[4, 1, 3, 2]	[2, 1, 4, 3]	[2, 4, 1, 3]	[2, 4, 3, 1]	3
9	p5	physics	[4, 1, 2, 3]	[4, 3, 1, 2]	[3, 1, 4, 2]	[4, 2, 1, 3]	[3, 1, 4, 2]	[1, 3, 4, 2]	4
9	b2	biology	[2, 4, 1, 3]	[2, 4, 1, 3]	[1, 4, 3, 2]	[3, 2, 1, 4]	[3, 2, 4, 1]	[4, 1, 3, 2]	5
9	b0	biology	[4, 1, 3, 2]	[1, 3, 4, 2]	[4, 2, 1, 3]	[2, 3, 1, 4]	[2, 4, 1, 3]	[4, 2, 3, 1]	6
9	p1	physics	[4, 2, 3, 1]	[3, 4, 2, 1]	[3, 4, 2, 1]	[3, 1, 2, 4]	[3, 1, 4, 2]	[1, 2, 4, 3]	7
9	b1	biology	[2, 1, 4, 3]	[1, 3, 2, 4]	[3, 1, 2, 4]	[3, 2, 1, 4]	[4, 3, 2, 1]	[3, 1, 4, 2]	8
9	b4	biology	[2, 4, 3, 1]	[4, 1, 3, 2]	[3, 4, 2, 1]	[4, 3, 1, 2]	[1, 2, 4, 3]	[3, 2, 4, 1]	9
9	p3	physics	[4, 3, 2, 1]	[3, 4, 1, 2]	[1, 3, 4, 2]	[2, 1, 3, 4]	[4, 3, 2, 1]	[1, 4, 2, 3]	10
9	b5	biology	[2, 4, 3, 1]	[2, 4, 1, 3]	[3, 2, 1, 4]	[1, 3, 4, 2]	[3, 4, 2, 1]	[3, 2, 1, 4]	11
9	p4	physics	[1, 3, 4, 2]	[4, 2, 1, 3]	[1, 3, 2, 4]	[1, 3, 2, 4]	[1, 2, 3, 4]	[1, 4, 3, 2]	12
10	b0	biology	[2, 1, 3, 4]	[1, 4, 2, 3]	[2, 4, 1, 3]	[3, 2, 4, 1]	[1, 4, 3, 2]	[4, 2, 3, 1]	1
10	b1	biology	[3, 1, 4, 2]	[1, 3, 4, 2]	[2, 4, 3, 1]	[2, 4, 1, 3]	[3, 1, 2, 4]	[2, 1, 3, 4]	2
10	p3	physics	[2, 1, 4, 3]	[3, 1, 2, 4]	[1, 3, 2, 4]	[1, 3, 4, 2]	[1, 3, 4, 2]	[4, 1, 3, 2]	3
10	b3	biology	[4, 1, 3, 2]	[3, 4, 1, 2]	[2, 4, 1, 3]	[1, 3, 2, 4]	[4, 2, 3, 1]	[3, 1, 4, 2]	4
10	b2	biology	[3, 1, 4, 2]	[2, 4, 3, 1]	[1, 2, 3, 4]	[3, 1, 2, 4]	[1, 3, 2, 4]	[1, 4, 3, 2]	5
10	p2	physics	[4, 1, 3, 2]	[4, 2, 1, 3]	[4, 3, 2, 1]	[2, 1, 4, 3]	[1, 3, 4, 2]	[3, 2, 4, 1]	6
10	p0	physics	[4, 1, 3, 2]	[1, 4, 2, 3]	[4, 1, 2, 3]	[1, 3, 2, 4]	[2, 1, 4, 3]	[1, 3, 2, 4]	7
10	b4	biology	[2, 1, 4, 3]	[2, 4, 1, 3]	[3, 4, 2, 1]	[1, 3, 2, 4]	[2, 1, 4, 3]	[3, 2, 4, 1]	8
10	p5	physics	[1, 3, 4, 2]	[4, 2, 3, 1]	[4, 2, 3, 1]	[4, 1, 2, 3]	[2, 1, 4, 3]	[4, 3, 2, 1]	9
10	b5	biology	[1, 3, 2, 4]	[1, 4, 3, 2]	[2, 3, 4, 1]	[2, 1, 4, 3]	[1, 4, 2, 3]	[4, 2, 3, 1]	10
10	p4	physics	[3, 1, 4, 2]	[2, 3, 4, 1]	[2, 3, 4, 1]	[4, 1, 2, 3]	[4, 1, 3, 2]	[1, 4, 3, 2]	11
10	p1	physics	[4, 3, 2, 1]	[1, 4, 2, 3]	[4, 2, 1, 3]	[2, 4, 1, 3]	[3, 2, 1, 4]	[1, 4, 3, 2]	12
11	p3	physics	[2, 1, 3, 4]	[1, 4, 2, 3]	[4, 1, 2, 3]	[4, 3, 2, 1]	[3, 2, 1, 4]	[2, 3, 1, 4]	1
11	p5	physics	[2, 1, 4, 3]	[2, 4, 1, 3]	[3, 4, 1, 2]	[2, 3, 1, 4]	[1, 2, 3, 4]	[3, 2, 4, 1]	2
11	b0	biology	[3, 2, 1, 4]	[1, 4, 2, 3]	[4, 3, 2, 1]	[2, 3, 1, 4]	[2, 4, 3, 1]	[3, 4, 2, 1]	3
11	b3	biology	[2, 3, 4, 1]	[3, 1, 4, 2]	[2, 3, 4, 1]	[1, 2, 4, 3]	[4, 1, 3, 2]	[4, 2, 1, 3]	4
11	b2	biology	[2, 4, 3, 1]	[2, 4, 1, 3]	[1, 2, 3, 4]	[2, 4, 3, 1]	[4, 1, 3, 2]	[1, 2, 3, 4]	5
11	b4	biology	[1, 3, 2, 4]	[1, 4, 3, 2]	[2, 3, 4, 1]	[3, 1, 2, 4]	[4, 3, 2, 1]	[2, 1, 3, 4]	6
11	p4	physics	[3, 1, 4, 2]	[4, 2, 1, 3]	[4, 1, 2, 3]	[1, 4, 3, 2]	[3, 1, 2, 4]	[3, 2, 4, 1]	7
11	p0	physics	[2, 1, 3, 4]	[2, 3, 1, 4]	[1, 3, 4, 2]	[3, 1, 2, 4]	[1, 4, 3, 2]	[3, 4, 2, 1]	8
11	p2	physics	[2, 3, 4, 1]	[4, 1, 3, 2]	[3, 4, 2, 1]	[1, 3, 2, 4]	[3, 2, 1, 4]	[4, 2, 1, 3]	9
11	p1	physics	[3, 1, 4, 2]	[2, 1, 4, 3]	[4, 3, 1, 2]	[1, 2, 4, 3]	[1, 2, 4, 3]	[3, 2, 1, 4]	10
11	b5	biology	[3, 2, 1, 4]	[4, 2, 3, 1]	[1, 4, 2, 3]	[4, 2, 1, 3]	[3, 4, 2, 1]	[3, 2, 4, 1]	11
11	b1	biology	[3, 1, 4, 2]	[4, 1, 2, 3]	[1, 2, 4, 3]	[4, 2, 1, 3]	[3, 1, 2, 4]	[3, 1, 2, 4]	12
12	b1	biology	[1, 2, 4, 3]	[1, 4, 3, 2]	[1, 2, 3, 4]	[4, 3, 2, 1]	[4, 2, 3, 1]	[2, 3, 1, 4]	1
12	b0	biology	[1, 4, 2, 3]	[1, 4, 2, 3]	[4, 2, 1, 3]	[1, 2, 4, 3]	[1, 2, 3, 4]	[1, 4, 3, 2]	2
12	b4	biology	[3, 4, 1, 2]	[1, 4, 2, 3]	[3, 1, 4, 2]	[3, 2, 1, 4]	[2, 4, 3, 1]	[2, 4, 3, 1]	3
12	p5	physics	[2, 1, 3, 4]	[3, 1, 2, 4]	[3, 4, 2, 1]	[2, 1, 3, 4]	[4, 2, 1, 3]	[4, 3, 2, 1]	4
12	b2	biology	[1, 2, 3, 4]	[1, 3, 4, 2]	[2, 4, 1, 3]	[1, 3, 4, 2]	[2, 3, 1, 4]	[4, 2, 1, 3]	5
12	b5	biology	[1, 2, 4, 3]	[2, 1, 4, 3]	[4, 2, 1, 3]	[1, 2, 3, 4]	[1, 2, 4, 3]	[1, 2, 4, 3]	6
12	p3	physics	[2, 3, 1, 4]	[2, 3, 4, 1]	[1, 3, 4, 2]	[3, 1, 4, 2]	[2, 1, 3, 4]	[1, 3, 2, 4]	7
12	p2	physics	[4, 3, 1, 2]	[2, 3, 4, 1]	[3, 4, 1, 2]	[4, 3, 2, 1]	[3, 2, 1, 4]	[3, 1, 2, 4]	8
12	p0	physics	[4, 3, 2, 1]	[2, 3, 4, 1]	[3, 2, 1, 4]	[1, 2, 3, 4]	[3, 1, 4, 2]	[3, 4, 1, 2]	9
12	p4	physics	[4, 1, 2, 3]	[2, 1, 3, 4]	[1, 2, 3, 4]	[4, 2, 3, 1]	[3, 4, 2, 1]	[3, 1, 4, 2]	10
12	p1	physics	[3, 2, 1, 4]	[2, 3, 1, 4]	[2, 4, 3, 1]	[1, 2, 4, 3]	[1, 4, 2, 3]	[2, 1, 4, 3]	11
12	b3	biology	[2, 4, 1, 3]	[3, 1, 4, 2]	[1, 2, 3, 4]	[3, 2, 1, 4]	[2, 1, 3, 4]	[2, 3, 1, 4]	12
13	b4	biology	[2, 4, 3, 1]	[1, 3, 2, 4]	[1, 4, 3, 2]	[1, 4, 3, 2]	[4, 3, 1, 2]	[3, 1, 2, 4]	1
